date[YYYYDDD],date,product,band,min,max,sum,range,mean,variance,standard_deviation,tot_pixels,pixels_pass_qa,per_cent_pixels_pass_qa
A2015005,2015-01-05,MCD15A3H,Lai_500m,,,,,,,,5329,0,0.00
A2015009,2015-01-09,MCD15A3H,Lai_500m,0.1000,0.7000,147.3997,0.6000,0.2118,0.0209,0.1445,5329,696,13.06
A2015013,2015-01-13,MCD15A3H,Lai_500m,0.1000,0.1000,1.6000,0.0000,0.1000,0.0000,0.0000,5329,16,0.30
A2015017,2015-01-17,MCD15A3H,Lai_500m,0.1000,1.4000,113.8996,1.3000,0.1852,0.0341,0.1848,5329,615,11.54
A2015021,2015-01-21,MCD15A3H,Lai_500m,0.1000,0.9000,83.8993,0.8000,0.1132,0.0043,0.0656,5329,741,13.91
A2015025,2015-01-25,MCD15A3H,Lai_500m,0.1000,1.2000,90.1993,1.1000,0.1048,0.0023,0.0483,5329,861,16.16
A2015029,2015-01-29,MCD15A3H,Lai_500m,0.1000,0.9000,322.9035,0.8000,0.1510,0.0080,0.0893,5329,2139,40.14
A2015033,2015-02-02,MCD15A3H,Lai_500m,0.1000,1.0000,302.8036,0.9000,0.1566,0.0113,0.1062,5329,1933,36.27
A2015037,2015-02-06,MCD15A3H,Lai_500m,0.1000,1.4000,55.7997,1.3000,0.1200,0.0123,0.1109,5329,465,8.73
A2015041,2015-02-10,MCD15A3H,Lai_500m,0.1000,2.2000,138.1996,2.1000,0.1904,0.0460,0.2144,5329,726,13.62
A2015045,2015-02-14,MCD15A3H,Lai_500m,0.1000,3.6000,90.4995,3.5000,0.1555,0.0596,0.2441,5329,582,10.92
A2015049,2015-02-18,MCD15A3H,Lai_500m,0.1000,1.3000,79.9997,1.2000,0.1702,0.0199,0.1411,5329,470,8.82
A2015053,2015-02-22,MCD15A3H,Lai_500m,0.1000,1.1000,92.6997,1.0000,0.1880,0.0256,0.1601,5329,493,9.25
A2015057,2015-02-26,MCD15A3H,Lai_500m,0.1000,1.4000,65.1998,1.3000,0.1606,0.0182,0.1351,5329,406,7.62
A2015061,2015-03-02,MCD15A3H,Lai_500m,0.1000,4.4000,88.8998,4.3000,0.2107,0.1253,0.3540,5329,422,7.92
A2015065,2015-03-06,MCD15A3H,Lai_500m,0.1000,0.8000,352.0110,0.7000,0.1092,0.0016,0.0400,5329,3223,60.48
A2015069,2015-03-10,MCD15A3H,Lai_500m,0.1000,1.2000,790.8962,1.1000,0.1557,0.0056,0.0746,5329,5080,95.33
A2015073,2015-03-14,MCD15A3H,Lai_500m,0.1000,0.7000,1179.3857,0.6000,0.2267,0.0118,0.1088,5329,5202,97.62
A2015077,2015-03-18,MCD15A3H,Lai_500m,0.1000,0.5000,721.1774,0.4000,0.1410,0.0054,0.0732,5329,5115,95.98
A2015081,2015-03-22,MCD15A3H,Lai_500m,0.1000,0.9000,1036.7898,0.8000,0.2021,0.0127,0.1125,5329,5129,96.25
A2015085,2015-03-26,MCD15A3H,Lai_500m,0.1000,1.3000,1242.6929,1.2000,0.2391,0.0167,0.1294,5329,5198,97.54
A2015089,2015-03-30,MCD15A3H,Lai_500m,0.1000,1.0000,1465.8934,0.9000,0.2849,0.0185,0.1360,5329,5146,96.57
A2015093,2015-04-03,MCD15A3H,Lai_500m,0.1000,1.5000,1339.8970,1.4000,0.2576,0.0146,0.1207,5329,5202,97.62
A2015097,2015-04-07,MCD15A3H,Lai_500m,0.1000,1.0000,1490.7896,0.9000,0.2881,0.0167,0.1291,5329,5175,97.11
A2015101,2015-04-11,MCD15A3H,Lai_500m,0.1000,1.0000,1490.9998,0.9000,0.2866,0.0128,0.1131,5329,5202,97.62
A2015105,2015-04-15,MCD15A3H,Lai_500m,0.1000,1.0000,1689.8258,0.9000,0.3248,0.0130,0.1140,5329,5202,97.62
A2015109,2015-04-19,MCD15A3H,Lai_500m,0.1000,0.9000,1485.7992,0.8000,0.2859,0.0125,0.1116,5329,5197,97.52
A2015113,2015-04-23,MCD15A3H,Lai_500m,0.1000,1.2000,1711.4139,1.1000,0.3292,0.0163,0.1276,5329,5199,97.56
A2015117,2015-04-27,MCD15A3H,Lai_500m,0.1000,1.2000,1810.6179,1.1000,0.3481,0.0198,0.1409,5329,5202,97.62
A2015121,2015-05-01,MCD15A3H,Lai_500m,0.1000,1.5000,2367.0100,1.4000,0.4550,0.0261,0.1617,5329,5202,97.62
A2015125,2015-05-05,MCD15A3H,Lai_500m,0.1000,2.3000,2168.1072,2.2000,0.4171,0.0363,0.1906,5329,5198,97.54
A2015129,2015-05-09,MCD15A3H,Lai_500m,0.1000,2.4000,1708.2729,2.3000,0.3543,0.0540,0.2325,5329,4822,90.49
A2015133,2015-05-13,MCD15A3H,Lai_500m,0.1000,1.3000,2531.8989,1.2000,0.4940,0.0353,0.1879,5329,5125,96.17
A2015137,2015-05-17,MCD15A3H,Lai_500m,0.1000,2.2000,3374.8845,2.1000,0.6488,0.0815,0.2855,5329,5202,97.62
A2015141,2015-05-21,MCD15A3H,Lai_500m,0.2000,2.6000,3982.0896,2.4000,0.7655,0.1068,0.3268,5329,5202,97.62
A2015145,2015-05-25,MCD15A3H,Lai_500m,0.2000,5.0000,5380.5103,4.8000,1.0343,0.1868,0.4323,5329,5202,97.62
A2015149,2015-05-29,MCD15A3H,Lai_500m,0.2000,5.0000,6352.9077,4.8000,1.2212,0.3029,0.5504,5329,5202,97.62
A2015153,2015-06-02,MCD15A3H,Lai_500m,0.1000,6.5000,7652.8140,6.4000,1.4728,0.6079,0.7797,5329,5196,97.50
A2015157,2015-06-06,MCD15A3H,Lai_500m,0.2000,6.7000,8530.0234,6.5000,1.6401,0.6960,0.8343,5329,5201,97.60
A2015161,2015-06-10,MCD15A3H,Lai_500m,0.3000,6.8000,11687.2021,6.5000,2.2497,1.4192,1.1913,5329,5195,97.49
A2015165,2015-06-14,MCD15A3H,Lai_500m,0.1000,6.8000,9954.2979,6.7000,2.0575,1.6455,1.2828,5329,4838,90.79
A2015169,2015-06-18,MCD15A3H,Lai_500m,0.2000,6.8000,9858.1113,6.6000,1.9843,1.1129,1.0550,5329,4968,93.23
A2015173,2015-06-22,MCD15A3H,Lai_500m,0.1000,6.8000,11136.1602,6.7000,2.2286,1.7586,1.3261,5329,4997,93.77
A2015177,2015-06-26,MCD15A3H,Lai_500m,0.3000,6.9000,13994.3711,6.6000,2.7789,1.6187,1.2723,5329,5036,94.50
A2015181,2015-06-30,MCD15A3H,Lai_500m,0.1000,6.8000,14488.8047,6.7000,2.8052,1.4085,1.1868,5329,5165,96.92
A2015185,2015-07-04,MCD15A3H,Lai_500m,0.6000,6.9000,14934.6123,6.3000,2.8787,1.3951,1.1811,5329,5188,97.35
A2015189,2015-07-08,MCD15A3H,Lai_500m,0.5000,6.8000,16303.2334,6.3000,3.2412,1.7077,1.3068,5329,5030,94.39
A2015193,2015-07-12,MCD15A3H,Lai_500m,0.2000,6.8000,12791.1143,6.6000,2.7083,1.5058,1.2271,5329,4723,88.63
A2015197,2015-07-16,MCD15A3H,Lai_500m,0.2000,6.8000,16427.7930,6.6000,3.3444,1.5925,1.2619,5329,4912,92.17
A2015201,2015-07-20,MCD15A3H,Lai_500m,0.2000,6.9000,17610.1113,6.7000,3.4469,1.9362,1.3915,5329,5109,95.87
A2015205,2015-07-24,MCD15A3H,Lai_500m,0.2000,6.8000,16378.6152,6.6000,3.2659,1.6388,1.2801,5329,5015,94.11
A2015209,2015-07-28,MCD15A3H,Lai_500m,0.2000,6.9000,15743.9229,6.7000,3.1263,1.6410,1.2810,5329,5036,94.50
A2015213,2015-08-01,MCD15A3H,Lai_500m,0.5000,6.9000,16241.6152,6.4000,3.1507,1.7804,1.3343,5329,5155,96.73
A2015217,2015-08-05,MCD15A3H,Lai_500m,0.3000,6.9000,13415.2852,6.6000,2.6570,1.5691,1.2526,5329,5049,94.75
A2015221,2015-08-09,MCD15A3H,Lai_500m,0.3000,6.8000,13395.3232,6.5000,2.6127,1.6111,1.2693,5329,5127,96.21
A2015225,2015-08-13,MCD15A3H,Lai_500m,0.2000,6.8000,12523.3301,6.6000,2.4223,1.1000,1.0488,5329,5170,97.02
A2015229,2015-08-17,MCD15A3H,Lai_500m,0.1000,6.8000,11175.9932,6.7000,2.2307,1.3201,1.1490,5329,5010,94.01
A2015233,2015-08-21,MCD15A3H,Lai_500m,0.6000,6.5000,8020.2222,5.9000,1.5683,0.3745,0.6120,5329,5114,95.97
A2015237,2015-08-25,MCD15A3H,Lai_500m,0.6000,6.8000,12346.3213,6.2000,2.3734,1.1371,1.0664,5329,5202,97.62
A2015241,2015-08-29,MCD15A3H,Lai_500m,0.3000,6.8000,9532.6094,6.5000,1.8328,0.6429,0.8018,5329,5201,97.60
A2015245,2015-09-02,MCD15A3H,Lai_500m,0.4000,6.4000,9225.9316,6.0000,1.7735,0.5861,0.7656,5329,5202,97.62
A2015249,2015-09-06,MCD15A3H,Lai_500m,0.2000,6.4000,7853.9292,6.2000,1.5101,0.5784,0.7605,5329,5201,97.60
A2015253,2015-09-10,MCD15A3H,Lai_500m,0.2000,5.9000,5769.2344,5.7000,1.1107,0.1856,0.4309,5329,5194,97.47
A2015257,2015-09-14,MCD15A3H,Lai_500m,0.2000,4.6000,6769.3062,4.4000,1.3013,0.2677,0.5174,5329,5202,97.62
A2015261,2015-09-18,MCD15A3H,Lai_500m,0.3000,5.3000,6155.2310,5.0000,1.1832,0.2003,0.4476,5329,5202,97.62
A2015265,2015-09-22,MCD15A3H,Lai_500m,0.1000,2.2000,1252.1902,2.1000,0.4563,0.1459,0.3819,5329,2744,51.49
A2015269,2015-09-26,MCD15A3H,Lai_500m,0.1000,3.0000,4838.2939,2.9000,0.9301,0.1562,0.3952,5329,5202,97.62
A2015273,2015-09-30,MCD15A3H,Lai_500m,0.1000,2.0000,3723.5840,1.9000,0.7158,0.0629,0.2508,5329,5202,97.62
A2015277,2015-10-04,MCD15A3H,Lai_500m,0.1000,1.7000,3158.8101,1.6000,0.6072,0.0412,0.2030,5329,5202,97.62
A2015281,2015-10-08,MCD15A3H,Lai_500m,0.1000,1.6000,2312.9231,1.5000,0.4456,0.0333,0.1824,5329,5190,97.39
A2015285,2015-10-12,MCD15A3H,Lai_500m,0.1000,1.6000,2260.8499,1.5000,0.4348,0.0503,0.2242,5329,5200,97.58
A2015289,2015-10-16,MCD15A3H,Lai_500m,0.1000,1.4000,2315.1240,1.3000,0.4452,0.0425,0.2063,5329,5200,97.58
A2015293,2015-10-20,MCD15A3H,Lai_500m,0.1000,2.1000,2062.9346,2.0000,0.3968,0.0320,0.1788,5329,5199,97.56
A2015297,2015-10-24,MCD15A3H,Lai_500m,0.1000,1.2000,1865.3153,1.1000,0.3595,0.0357,0.1888,5329,5188,97.35
A2015301,2015-10-28,MCD15A3H,Lai_500m,0.1000,1.1000,1218.2812,1.0000,0.2411,0.0206,0.1436,5329,5052,94.80
A2015305,2015-11-01,MCD15A3H,Lai_500m,0.1000,1.1000,1018.0673,1.0000,0.2081,0.0228,0.1508,5329,4892,91.80
A2015309,2015-11-05,MCD15A3H,Lai_500m,0.1000,1.3000,1552.6039,1.2000,0.3004,0.0245,0.1564,5329,5169,97.00
A2015313,2015-11-09,MCD15A3H,Lai_500m,0.1000,1.2000,1467.2006,1.1000,0.2852,0.0225,0.1502,5329,5145,96.55
A2015317,2015-11-13,MCD15A3H,Lai_500m,0.1000,1.4000,1175.0756,1.3000,0.2342,0.0314,0.1772,5329,5017,94.15
A2015321,2015-11-17,MCD15A3H,Lai_500m,0.1000,0.1000,1.4000,0.0000,0.1000,0.0000,0.0000,5329,14,0.26
A2015325,2015-11-21,MCD15A3H,Lai_500m,0.1000,0.3000,45.8999,0.2000,0.1041,0.0008,0.0283,5329,441,8.28
A2015329,2015-11-25,MCD15A3H,Lai_500m,0.1000,1.0000,505.2060,0.9000,0.1781,0.0153,0.1237,5329,2836,53.22
A2015333,2015-11-29,MCD15A3H,Lai_500m,0.1000,0.7000,15.9000,0.6000,0.3000,0.0411,0.2028,5329,53,0.99
A2015337,2015-12-03,MCD15A3H,Lai_500m,,,,,,,,5329,0,0.00
A2015341,2015-12-07,MCD15A3H,Lai_500m,,,,,,,,5329,0,0.00
A2015345,2015-12-11,MCD15A3H,Lai_500m,,,,,,,,5329,0,0.00
A2015349,2015-12-15,MCD15A3H,Lai_500m,,,,,,,,5329,0,0.00
A2015353,2015-12-19,MCD15A3H,Lai_500m,,,,,,,,5329,0,0.00
A2015357,2015-12-23,MCD15A3H,Lai_500m,,,,,,,,5329,0,0.00
A2015361,2015-12-27,MCD15A3H,Lai_500m,,,,,,,,5329,0,0.00
A2015365,2015-12-31,MCD15A3H,Lai_500m,,,,,,,,5329,0,0.00
A2016001,2016-01-01,MCD15A3H,Lai_500m,,,,,,,,5329,0,0.00
A2016005,2016-01-05,MCD15A3H,Lai_500m,,,,,,,,5329,0,0.00
A2016009,2016-01-09,MCD15A3H,Lai_500m,,,,,,,,5329,0,0.00
A2016013,2016-01-13,MCD15A3H,Lai_500m,0.1000,0.9000,21.5000,0.8000,0.1604,0.0336,0.1833,5329,134,2.51
A2016017,2016-01-17,MCD15A3H,Lai_500m,0.1000,0.3000,16.8000,0.2000,0.1077,0.0010,0.0311,5329,156,2.93
A2016021,2016-01-21,MCD15A3H,Lai_500m,0.1000,1.2000,20.6000,1.1000,0.1184,0.0148,0.1218,5329,174,3.27
A2016025,2016-01-25,MCD15A3H,Lai_500m,0.1000,0.1000,3.2000,0.0000,0.1000,0.0000,0.0000,5329,32,0.60
A2016029,2016-01-29,MCD15A3H,Lai_500m,0.1000,0.5000,60.8997,0.4000,0.1117,0.0022,0.0470,5329,545,10.23
A2016033,2016-02-02,MCD15A3H,Lai_500m,0.1000,0.6000,64.7997,0.5000,0.1204,0.0039,0.0624,5329,538,10.10
A2016037,2016-02-06,MCD15A3H,Lai_500m,0.1000,0.7000,33.5000,0.6000,0.1893,0.0217,0.1475,5329,177,3.32
A2016041,2016-02-10,MCD15A3H,Lai_500m,0.1000,0.5000,43.9999,0.4000,0.1294,0.0058,0.0764,5329,340,6.38
A2016045,2016-02-14,MCD15A3H,Lai_500m,0.1000,0.5000,6.9000,0.4000,0.1408,0.0114,0.1067,5329,49,0.92
A2016057,2016-02-26,MCD15A3H,Lai_500m,0.1000,0.5000,44.0000,0.4000,0.1205,0.0042,0.0644,5329,365,6.85
A2016061,2016-03-01,MCD15A3H,Lai_500m,0.1000,1.2000,45.0000,1.1000,0.1393,0.0127,0.1128,5329,323,6.06
A2016065,2016-03-05,MCD15A3H,Lai_500m,0.1000,0.8000,274.0065,0.7000,0.1080,0.0020,0.0446,5329,2538,47.63
A2016069,2016-03-09,MCD15A3H,Lai_500m,0.1000,0.8000,841.1893,0.7000,0.1726,0.0082,0.0903,5329,4875,91.48
A2016073,2016-03-13,MCD15A3H,Lai_500m,0.1000,0.6000,943.2850,0.5000,0.2040,0.0119,0.1091,5329,4624,86.77
A2016077,2016-03-17,MCD15A3H,Lai_500m,0.1000,1.2000,1008.1776,1.1000,0.1961,0.0132,0.1149,5329,5142,96.49
A2016081,2016-03-21,MCD15A3H,Lai_500m,0.1000,0.9000,1313.2861,0.8000,0.2531,0.0154,0.1240,5329,5189,97.37
A2016085,2016-03-25,MCD15A3H,Lai_500m,0.1000,1.0000,1429.7965,0.9000,0.2751,0.0141,0.1187,5329,5198,97.54
A2016089,2016-03-29,MCD15A3H,Lai_500m,0.1000,1.3000,1418.5945,1.2000,0.2729,0.0155,0.1245,5329,5198,97.54
A2016093,2016-04-02,MCD15A3H,Lai_500m,0.1000,1.0000,1412.3972,0.9000,0.2715,0.0119,0.1090,5329,5202,97.62
A2016097,2016-04-06,MCD15A3H,Lai_500m,0.1000,0.9000,778.6737,0.8000,0.1595,0.0079,0.0887,5329,4882,91.61
A2016101,2016-04-10,MCD15A3H,Lai_500m,0.1000,0.9000,1481.7009,0.8000,0.2848,0.0106,0.1031,5329,5202,97.62
A2016105,2016-04-14,MCD15A3H,Lai_500m,0.1000,1.3000,984.8683,1.2000,0.2182,0.0172,0.1311,5329,4513,84.69
A2016109,2016-04-18,MCD15A3H,Lai_500m,0.1000,0.6000,871.0910,0.5000,0.1810,0.0095,0.0975,5329,4812,90.30
A2016113,2016-04-22,MCD15A3H,Lai_500m,0.1000,0.6000,1148.7874,0.5000,0.2221,0.0105,0.1023,5329,5172,97.05
A2016117,2016-04-26,MCD15A3H,Lai_500m,0.1000,1.2000,1699.0179,1.1000,0.3266,0.0152,0.1232,5329,5202,97.62
A2016121,2016-04-30,MCD15A3H,Lai_500m,0.1000,1.4000,2068.4370,1.3000,0.3979,0.0259,0.1609,5329,5199,97.56
A2016125,2016-05-04,MCD15A3H,Lai_500m,0.1000,1.8000,2561.9102,1.7000,0.4925,0.0408,0.2019,5329,5202,97.62
A2016129,2016-05-08,MCD15A3H,Lai_500m,0.1000,2.0000,2524.9241,1.9000,0.4854,0.0486,0.2205,5329,5202,97.62
A2016133,2016-05-12,MCD15A3H,Lai_500m,0.1000,2.6000,2781.3013,2.5000,0.5382,0.0784,0.2800,5329,5168,96.98
A2016137,2016-05-16,MCD15A3H,Lai_500m,0.1000,5.2000,3674.3782,5.1000,0.7063,0.0936,0.3060,5329,5202,97.62
A2016141,2016-05-20,MCD15A3H,Lai_500m,0.1000,4.7000,4671.1982,4.6000,0.8980,0.2214,0.4705,5329,5202,97.62
A2016145,2016-05-24,MCD15A3H,Lai_500m,0.1000,5.0000,5264.5068,4.9000,1.0171,0.2964,0.5444,5329,5176,97.13
A2016149,2016-05-28,MCD15A3H,Lai_500m,0.1000,5.2000,5666.6113,5.1000,1.1035,0.5288,0.7272,5329,5135,96.36
A2016153,2016-06-01,MCD15A3H,Lai_500m,0.1000,6.6000,7515.1030,6.5000,1.4508,0.5931,0.7701,5329,5180,97.20
A2016157,2016-06-05,MCD15A3H,Lai_500m,0.1000,6.9000,10565.3018,6.8000,2.0314,1.4045,1.1851,5329,5201,97.60
A2016161,2016-06-09,MCD15A3H,Lai_500m,0.2000,6.9000,11197.5469,6.7000,2.1575,1.4830,1.2178,5329,5190,97.39
A2016165,2016-06-13,MCD15A3H,Lai_500m,0.1000,6.7000,6206.0107,6.6000,1.4976,0.9333,0.9661,5329,4144,77.76
A2016169,2016-06-17,MCD15A3H,Lai_500m,0.2000,6.8000,10133.2012,6.6000,2.0906,1.2832,1.1328,5329,4847,90.96
A2016173,2016-06-21,MCD15A3H,Lai_500m,0.2000,6.9000,15603.5791,6.7000,3.0482,2.2340,1.4946,5329,5119,96.06
A2016177,2016-06-25,MCD15A3H,Lai_500m,0.1000,6.8000,7997.0225,6.7000,1.8680,1.2812,1.1319,5329,4281,80.33
A2016181,2016-06-29,MCD15A3H,Lai_500m,0.2000,6.8000,12514.8125,6.6000,2.4491,1.3868,1.1776,5329,5110,95.89
A2016185,2016-07-03,MCD15A3H,Lai_500m,0.2000,6.8000,10965.4785,6.6000,2.3396,1.5655,1.2512,5329,4687,87.95
A2016189,2016-07-07,MCD15A3H,Lai_500m,0.1000,6.8000,6711.2026,6.7000,1.7504,1.2861,1.1341,5329,3834,71.95
A2016193,2016-07-11,MCD15A3H,Lai_500m,0.1000,6.7000,1840.1012,6.6000,1.2673,1.1211,1.0588,5329,1452,27.25
A2016197,2016-07-15,MCD15A3H,Lai_500m,0.1000,6.8000,15147.4268,6.7000,2.9759,1.6068,1.2676,5329,5090,95.52
A2016201,2016-07-19,MCD15A3H,Lai_500m,0.3000,6.8000,19281.7070,6.5000,3.7447,1.6616,1.2890,5329,5149,96.62
A2016205,2016-07-23,MCD15A3H,Lai_500m,0.2000,6.8000,19110.5078,6.6000,3.8016,1.6809,1.2965,5329,5027,94.33
A2016209,2016-07-27,MCD15A3H,Lai_500m,0.4000,6.9000,17024.1211,6.5000,3.4588,1.9149,1.3838,5329,4922,92.36
A2016213,2016-07-31,MCD15A3H,Lai_500m,0.5000,6.8000,17959.4941,6.3000,3.5563,1.7293,1.3150,5329,5050,94.76
A2016217,2016-08-04,MCD15A3H,Lai_500m,0.1000,6.9000,14047.6152,6.8000,2.8477,1.5959,1.2633,5329,4933,92.57
A2016221,2016-08-08,MCD15A3H,Lai_500m,0.2000,6.8000,14022.4990,6.6000,2.8368,1.9746,1.4052,5329,4943,92.76
A2016225,2016-08-12,MCD15A3H,Lai_500m,0.1000,6.8000,12520.4941,6.7000,2.7001,2.4546,1.5667,5329,4637,87.01
A2016229,2016-08-16,MCD15A3H,Lai_500m,0.1000,6.8000,11962.9219,6.7000,2.4559,1.7528,1.3239,5329,4871,91.41
A2016233,2016-08-20,MCD15A3H,Lai_500m,0.4000,6.8000,13316.7031,6.4000,2.6101,1.4936,1.2221,5329,5102,95.74
A2016237,2016-08-24,MCD15A3H,Lai_500m,0.3000,6.8000,11146.1006,6.5000,2.1795,1.1728,1.0830,5329,5114,95.97
A2016241,2016-08-28,MCD15A3H,Lai_500m,0.4000,6.8000,12535.6221,6.4000,2.4177,1.2761,1.1297,5329,5185,97.30
A2016245,2016-09-01,MCD15A3H,Lai_500m,0.3000,6.8000,9874.7910,6.5000,1.8983,0.5537,0.7441,5329,5202,97.62
A2016249,2016-09-05,MCD15A3H,Lai_500m,0.3000,6.2000,8513.6104,5.9000,1.6375,0.5317,0.7292,5329,5199,97.56
A2016253,2016-09-09,MCD15A3H,Lai_500m,0.2000,6.5000,7575.3335,6.3000,1.4604,0.4578,0.6766,5329,5187,97.34
A2016257,2016-09-13,MCD15A3H,Lai_500m,0.1000,4.5000,6838.4038,4.4000,1.3148,0.4215,0.6492,5329,5201,97.60
A2016261,2016-09-17,MCD15A3H,Lai_500m,0.1000,3.9000,6013.9175,3.8000,1.1561,0.2132,0.4618,5329,5202,97.62
A2016265,2016-09-21,MCD15A3H,Lai_500m,0.2000,3.3000,4520.9834,3.1000,0.8691,0.1340,0.3660,5329,5202,97.62
A2016269,2016-09-25,MCD15A3H,Lai_500m,0.1000,2.0000,340.4042,1.9000,0.2477,0.0543,0.2331,5329,1374,25.78
A2016273,2016-09-29,MCD15A3H,Lai_500m,0.1000,2.6000,3247.0215,2.5000,0.6244,0.0790,0.2811,5329,5200,97.58
A2016277,2016-10-03,MCD15A3H,Lai_500m,0.1000,1.6000,3207.0110,1.5000,0.6166,0.0523,0.2287,5329,5201,97.60
A2016281,2016-10-07,MCD15A3H,Lai_500m,0.1000,1.4000,2118.1294,1.3000,0.4072,0.0360,0.1897,5329,5202,97.62
A2016285,2016-10-11,MCD15A3H,Lai_500m,0.1000,1.4000,2268.2263,1.3000,0.4369,0.0340,0.1843,5329,5192,97.43
A2016289,2016-10-15,MCD15A3H,Lai_500m,0.1000,1.0000,1866.8248,0.9000,0.3598,0.0213,0.1460,5329,5188,97.35
A2016293,2016-10-19,MCD15A3H,Lai_500m,0.1000,1.3000,1788.4084,1.2000,0.3448,0.0311,0.1765,5329,5187,97.34
A2016297,2016-10-23,MCD15A3H,Lai_500m,0.1000,1.9000,2035.9332,1.8000,0.3915,0.0331,0.1820,5329,5200,97.58
A2016301,2016-10-27,MCD15A3H,Lai_500m,0.1000,1.7000,899.4921,1.6000,0.1816,0.0150,0.1225,5329,4954,92.96
A2016305,2016-10-31,MCD15A3H,Lai_500m,0.1000,1.5000,1340.8942,1.4000,0.2609,0.0238,0.1544,5329,5140,96.45
A2016309,2016-11-04,MCD15A3H,Lai_500m,0.1000,1.2000,1695.4095,1.1000,0.3270,0.0262,0.1620,5329,5184,97.28
A2016313,2016-11-08,MCD15A3H,Lai_500m,0.1000,1.5000,1522.9996,1.4000,0.2960,0.0266,0.1631,5329,5145,96.55
A2016317,2016-11-12,MCD15A3H,Lai_500m,0.1000,1.3000,1472.3856,1.2000,0.2927,0.0278,0.1668,5329,5031,94.41
A2016321,2016-11-16,MCD15A3H,Lai_500m,0.1000,1.1000,1079.0724,1.0000,0.2160,0.0214,0.1464,5329,4995,93.73
A2016325,2016-11-20,MCD15A3H,Lai_500m,0.1000,0.6000,645.3992,0.5000,0.1491,0.0071,0.0840,5329,4328,81.22
A2016329,2016-11-24,MCD15A3H,Lai_500m,,,,,,,,5329,0,0.00
A2016333,2016-11-28,MCD15A3H,Lai_500m,,,,,,,,5329,0,0.00
A2016337,2016-12-02,MCD15A3H,Lai_500m,,,,,,,,5329,0,0.00
A2016341,2016-12-06,MCD15A3H,Lai_500m,,,,,,,,5329,0,0.00
A2016345,2016-12-10,MCD15A3H,Lai_500m,,,,,,,,5329,0,0.00
A2016349,2016-12-14,MCD15A3H,Lai_500m,,,,,,,,5329,0,0.00
A2016353,2016-12-18,MCD15A3H,Lai_500m,,,,,,,,5329,0,0.00
A2016357,2016-12-22,MCD15A3H,Lai_500m,,,,,,,,5329,0,0.00
A2016361,2016-12-26,MCD15A3H,Lai_500m,,,,,,,,5329,0,0.00
A2016365,2016-12-30,MCD15A3H,Lai_500m,,,,,,,,5329,0,0.00
A2017001,2017-01-01,MCD15A3H,Lai_500m,,,,,,,,5329,0,0.00
A2017005,2017-01-05,MCD15A3H,Lai_500m,,,,,,,,5329,0,0.00
A2017009,2017-01-09,MCD15A3H,Lai_500m,,,,,,,,5329,0,0.00
A2017013,2017-01-13,MCD15A3H,Lai_500m,0.1000,0.8000,16.8000,0.7000,0.1302,0.0092,0.0961,5329,129,2.42
A2017017,2017-01-17,MCD15A3H,Lai_500m,0.1000,0.4000,13.4000,0.3000,0.1252,0.0041,0.0643,5329,107,2.01
A2017021,2017-01-21,MCD15A3H,Lai_500m,,,,,,,,5329,0,0.00
A2017025,2017-01-25,MCD15A3H,Lai_500m,0.1000,0.5000,47.3998,0.4000,0.1085,0.0018,0.0428,5329,437,8.20
A2017029,2017-01-29,MCD15A3H,Lai_500m,0.1000,0.5000,30.4001,0.4000,0.1134,0.0039,0.0626,5329,268,5.03
A2017033,2017-02-02,MCD15A3H,Lai_500m,0.1000,1.2000,24.7000,1.1000,0.2205,0.0588,0.2424,5329,112,2.10
A2017037,2017-02-06,MCD15A3H,Lai_500m,0.1000,0.8000,5.8000,0.7000,0.2000,0.0186,0.1365,5329,29,0.54
A2017041,2017-02-10,MCD15A3H,Lai_500m,0.1000,0.4000,8.5000,0.3000,0.1349,0.0061,0.0780,5329,63,1.18
A2017045,2017-02-14,MCD15A3H,Lai_500m,0.1000,0.5000,11.0000,0.4000,0.1410,0.0075,0.0869,5329,78,1.46
A2017049,2017-02-18,MCD15A3H,Lai_500m,0.1000,0.4000,97.9991,0.3000,0.1026,0.0004,0.0206,5329,955,17.92
A2017053,2017-02-22,MCD15A3H,Lai_500m,0.1000,0.7000,157.0000,0.6000,0.1056,0.0013,0.0360,5329,1487,27.90
A2017057,2017-02-26,MCD15A3H,Lai_500m,0.1000,1.5000,125.5993,1.4000,0.1472,0.0178,0.1333,5329,853,16.01
A2017061,2017-03-02,MCD15A3H,Lai_500m,0.1000,0.9000,248.0036,0.8000,0.1135,0.0028,0.0530,5329,2185,41.00
A2017065,2017-03-06,MCD15A3H,Lai_500m,0.1000,1.0000,365.1090,0.9000,0.1233,0.0040,0.0630,5329,2962,55.58
A2017069,2017-03-10,MCD15A3H,Lai_500m,0.1000,0.9000,694.2084,0.8000,0.1516,0.0065,0.0806,5329,4580,85.94
A2017073,2017-03-14,MCD15A3H,Lai_500m,0.1000,0.8000,781.6020,0.7000,0.1592,0.0065,0.0807,5329,4911,92.16
A2017077,2017-03-18,MCD15A3H,Lai_500m,0.1000,1.1000,1096.6843,1.0000,0.2183,0.0139,0.1179,5329,5023,94.26
A2017081,2017-03-22,MCD15A3H,Lai_500m,0.1000,0.9000,640.6055,0.8000,0.1538,0.0088,0.0938,5329,4166,78.18
