date[YYYYDDD],date,product,band,min,max,sum,range,mean,variance,standard_deviation,tot_pixels,pixels_pass_qa,per_cent_pixels_pass_qa
A2015005,2015-01-05,MCD15A3H,Lai_500m,0.1000,0.8000,937.9605,0.7000,0.1839,0.0094,0.0970,5329,5100,95.70
A2015009,2015-01-09,MCD15A3H,Lai_500m,0.1000,1.1000,267.5029,1.0000,0.1451,0.0103,0.1017,5329,1844,34.60
A2015013,2015-01-13,MCD15A3H,Lai_500m,0.1000,1.2000,967.3716,1.1000,0.1879,0.0104,0.1019,5329,5148,96.60
A2015017,2015-01-17,MCD15A3H,Lai_500m,0.1000,0.9000,1129.6704,0.8000,0.2120,0.0094,0.0970,5329,5328,99.98
A2015021,2015-01-21,MCD15A3H,Lai_500m,0.1000,1.1000,1169.8655,1.0000,0.2195,0.0110,0.1051,5329,5329,100.00
A2015025,2015-01-25,MCD15A3H,Lai_500m,0.1000,1.1000,1113.9745,1.0000,0.2094,0.0078,0.0886,5329,5321,99.85
A2015029,2015-01-29,MCD15A3H,Lai_500m,0.1000,1.0000,995.3847,0.9000,0.1882,0.0085,0.0923,5329,5289,99.25
A2015033,2015-02-02,MCD15A3H,Lai_500m,0.1000,0.1000,342.2117,0.0000,0.1000,0.0000,0.0000,5329,3422,64.21
A2015037,2015-02-06,MCD15A3H,Lai_500m,0.1000,0.8000,1274.1771,0.7000,0.2391,0.0075,0.0864,5329,5328,99.98
A2015041,2015-02-10,MCD15A3H,Lai_500m,0.1000,0.6000,1036.0941,0.5000,0.1944,0.0053,0.0729,5329,5329,100.00
A2015045,2015-02-14,MCD15A3H,Lai_500m,0.1000,1.2000,1620.0165,1.1000,0.3040,0.0075,0.0867,5329,5329,100.00
A2015049,2015-02-18,MCD15A3H,Lai_500m,0.1000,1.3000,1488.6056,1.2000,0.2793,0.0092,0.0960,5329,5329,100.00
A2015053,2015-02-22,MCD15A3H,Lai_500m,0.1000,1.0000,1604.0176,0.9000,0.3010,0.0075,0.0866,5329,5329,100.00
A2015057,2015-02-26,MCD15A3H,Lai_500m,0.1000,0.9000,1137.7885,0.8000,0.2529,0.0189,0.1377,5329,4499,84.42
A2015061,2015-03-02,MCD15A3H,Lai_500m,0.1000,1.1000,1430.0962,1.0000,0.2922,0.0182,0.1348,5329,4895,91.86
A2015065,2015-03-06,MCD15A3H,Lai_500m,0.1000,1.1000,1928.3435,1.0000,0.3619,0.0149,0.1222,5329,5328,99.98
A2015069,2015-03-10,MCD15A3H,Lai_500m,0.1000,1.3000,2140.0417,1.2000,0.4016,0.0145,0.1203,5329,5329,100.00
A2015073,2015-03-14,MCD15A3H,Lai_500m,0.1000,0.4000,93.1994,0.3000,0.1192,0.0021,0.0457,5329,782,14.67
A2015077,2015-03-18,MCD15A3H,Lai_500m,0.2000,1.3000,2599.1069,1.1000,0.4877,0.0151,0.1231,5329,5329,100.00
A2015081,2015-03-22,MCD15A3H,Lai_500m,0.1000,1.2000,2116.9302,1.1000,0.3983,0.0230,0.1517,5329,5315,99.74
A2015085,2015-03-26,MCD15A3H,Lai_500m,0.2000,2.6000,2787.7861,2.4000,0.5231,0.0194,0.1391,5329,5329,100.00
A2015089,2015-03-30,MCD15A3H,Lai_500m,0.2000,2.8000,2799.5962,2.6000,0.5254,0.0282,0.1680,5329,5329,100.00
A2015093,2015-04-03,MCD15A3H,Lai_500m,0.2000,1.6000,2689.4836,1.4000,0.5047,0.0214,0.1463,5329,5329,100.00
A2015097,2015-04-07,MCD15A3H,Lai_500m,0.1000,2.1000,2478.4065,2.0000,0.4655,0.0366,0.1913,5329,5324,99.91
A2015101,2015-04-11,MCD15A3H,Lai_500m,0.1000,2.5000,3105.1663,2.4000,0.5827,0.0343,0.1851,5329,5329,100.00
A2015105,2015-04-15,MCD15A3H,Lai_500m,0.2000,5.1000,3313.7666,4.9000,0.6218,0.0363,0.1905,5329,5329,100.00
A2015109,2015-04-19,MCD15A3H,Lai_500m,0.3000,6.4000,3832.0815,6.1000,0.7191,0.0360,0.1898,5329,5329,100.00
A2015113,2015-04-23,MCD15A3H,Lai_500m,0.2000,3.2000,3684.5098,3.0000,0.6914,0.0483,0.2197,5329,5329,100.00
A2015117,2015-04-27,MCD15A3H,Lai_500m,0.2000,5.8000,3808.5881,5.6000,0.7147,0.0511,0.2260,5329,5329,100.00
A2015121,2015-05-01,MCD15A3H,Lai_500m,0.3000,5.1000,3997.6235,4.8000,0.7502,0.0511,0.2260,5329,5329,100.00
A2015125,2015-05-05,MCD15A3H,Lai_500m,0.2000,2.4000,3757.2217,2.2000,0.7052,0.0422,0.2053,5329,5328,99.98
A2015129,2015-05-09,MCD15A3H,Lai_500m,0.2000,6.1000,3505.8708,5.9000,0.6586,0.0522,0.2285,5329,5323,99.89
A2015133,2015-05-13,MCD15A3H,Lai_500m,0.2000,1.8000,3186.8882,1.6000,0.5983,0.0645,0.2540,5329,5327,99.96
A2015137,2015-05-17,MCD15A3H,Lai_500m,0.1000,4.8000,2012.6946,4.7000,0.3940,0.0659,0.2566,5329,5109,95.87
A2015141,2015-05-21,MCD15A3H,Lai_500m,0.1000,4.8000,3337.8770,4.7000,0.6281,0.0927,0.3045,5329,5314,99.72
A2015145,2015-05-25,MCD15A3H,Lai_500m,0.1000,3.4000,3540.1062,3.3000,0.6644,0.1226,0.3502,5329,5328,99.98
A2015149,2015-05-29,MCD15A3H,Lai_500m,0.1000,3.9000,3313.0063,3.8000,0.6226,0.1234,0.3512,5329,5321,99.85
A2015153,2015-06-02,MCD15A3H,Lai_500m,0.1000,2.4000,3211.6858,2.3000,0.6034,0.1361,0.3689,5329,5323,99.89
A2015157,2015-06-06,MCD15A3H,Lai_500m,0.2000,3.9000,3342.0244,3.7000,0.6275,0.1358,0.3686,5329,5326,99.94
A2015161,2015-06-10,MCD15A3H,Lai_500m,0.2000,3.1000,2946.3967,2.9000,0.5529,0.1094,0.3307,5329,5329,100.00
A2015165,2015-06-14,MCD15A3H,Lai_500m,0.2000,3.0000,2810.3845,2.8000,0.5280,0.1058,0.3253,5329,5323,99.89
A2015169,2015-06-18,MCD15A3H,Lai_500m,0.2000,2.9000,2573.3794,2.7000,0.4835,0.0807,0.2840,5329,5322,99.87
A2015173,2015-06-22,MCD15A3H,Lai_500m,0.2000,2.4000,2533.7690,2.2000,0.4758,0.0763,0.2762,5329,5325,99.92
A2015177,2015-06-26,MCD15A3H,Lai_500m,0.2000,2.5000,2252.2693,2.3000,0.4229,0.0578,0.2404,5329,5326,99.94
A2015181,2015-06-30,MCD15A3H,Lai_500m,0.2000,2.3000,2195.8638,2.1000,0.4123,0.0542,0.2329,5329,5326,99.94
A2015185,2015-07-04,MCD15A3H,Lai_500m,0.1000,1.7000,2003.2473,1.6000,0.3760,0.0385,0.1963,5329,5328,99.98
A2015189,2015-07-08,MCD15A3H,Lai_500m,0.1000,1.7000,1696.2748,1.6000,0.3277,0.0334,0.1827,5329,5176,97.13
A2015193,2015-07-12,MCD15A3H,Lai_500m,0.2000,2.0000,2005.3772,1.8000,0.3768,0.0441,0.2101,5329,5322,99.87
A2015197,2015-07-16,MCD15A3H,Lai_500m,0.1000,2.3000,1880.1608,2.2000,0.3528,0.0388,0.1969,5329,5329,100.00
A2015201,2015-07-20,MCD15A3H,Lai_500m,0.2000,1.9000,1816.7678,1.7000,0.3421,0.0367,0.1916,5329,5310,99.64
A2015205,2015-07-24,MCD15A3H,Lai_500m,0.1000,3.3000,1885.0653,3.2000,0.3540,0.0410,0.2024,5329,5325,99.92
A2015209,2015-07-28,MCD15A3H,Lai_500m,0.2000,2.8000,1787.6635,2.6000,0.3358,0.0368,0.1918,5329,5324,99.91
A2015213,2015-08-01,MCD15A3H,Lai_500m,0.2000,3.1000,1686.1638,2.9000,0.3171,0.0355,0.1883,5329,5318,99.79
A2015217,2015-08-05,MCD15A3H,Lai_500m,0.1000,2.4000,1658.3672,2.3000,0.3112,0.0305,0.1747,5329,5329,100.00
A2015221,2015-08-09,MCD15A3H,Lai_500m,0.1000,2.8000,1579.6747,2.7000,0.2964,0.0318,0.1783,5329,5329,100.00
A2015225,2015-08-13,MCD15A3H,Lai_500m,0.1000,2.9000,1353.2885,2.8000,0.2786,0.0425,0.2062,5329,4858,91.16
A2015229,2015-08-17,MCD15A3H,Lai_500m,0.1000,1.9000,1214.5930,1.8000,0.2781,0.0360,0.1896,5329,4367,81.95
A2015233,2015-08-21,MCD15A3H,Lai_500m,0.1000,1.8000,1217.6919,1.7000,0.2701,0.0328,0.1811,5329,4508,84.59
A2015237,2015-08-25,MCD15A3H,Lai_500m,0.1000,2.1000,1203.6965,2.0000,0.2296,0.0258,0.1607,5329,5243,98.39
A2015241,2015-08-29,MCD15A3H,Lai_500m,0.1000,1.4000,1154.2067,1.3000,0.2242,0.0211,0.1453,5329,5147,96.58
A2015245,2015-09-02,MCD15A3H,Lai_500m,0.1000,1.7000,1103.5167,1.6000,0.2079,0.0191,0.1382,5329,5308,99.61
A2015249,2015-09-06,MCD15A3H,Lai_500m,0.1000,1.2000,1183.1002,1.1000,0.2253,0.0207,0.1440,5329,5251,98.54
A2015253,2015-09-10,MCD15A3H,Lai_500m,0.1000,1.4000,1134.6085,1.3000,0.2293,0.0191,0.1383,5329,4949,92.87
A2015257,2015-09-14,MCD15A3H,Lai_500m,0.1000,1.7000,458.8146,1.6000,0.1248,0.0052,0.0724,5329,3677,69.00
A2015261,2015-09-18,MCD15A3H,Lai_500m,0.1000,1.7000,1106.8146,1.6000,0.2136,0.0180,0.1342,5329,5182,97.24
A2015265,2015-09-22,MCD15A3H,Lai_500m,0.1000,2.1000,1114.4135,2.0000,0.2156,0.0181,0.1347,5329,5170,97.02
A2015269,2015-09-26,MCD15A3H,Lai_500m,0.1000,1.4000,1098.7145,1.3000,0.2149,0.0164,0.1282,5329,5113,95.95
A2015273,2015-09-30,MCD15A3H,Lai_500m,0.1000,1.4000,987.9229,1.3000,0.1854,0.0113,0.1064,5329,5329,100.00
A2015277,2015-10-04,MCD15A3H,Lai_500m,0.1000,1.4000,1075.9215,1.3000,0.2020,0.0141,0.1189,5329,5327,99.96
A2015281,2015-10-08,MCD15A3H,Lai_500m,0.1000,1.5000,999.2271,1.4000,0.1970,0.0129,0.1137,5329,5073,95.20
A2015285,2015-10-12,MCD15A3H,Lai_500m,0.1000,1.7000,842.5063,1.6000,0.1582,0.0118,0.1084,5329,5326,99.94
A2015289,2015-10-16,MCD15A3H,Lai_500m,0.1000,1.4000,573.9083,1.3000,0.1262,0.0084,0.0916,5329,4548,85.34
A2015293,2015-10-20,MCD15A3H,Lai_500m,0.1000,1.5000,743.2930,1.4000,0.1396,0.0117,0.1080,5329,5323,99.89
A2015297,2015-10-24,MCD15A3H,Lai_500m,0.1000,0.9000,755.9955,0.8000,0.1419,0.0057,0.0757,5329,5328,99.98
A2015301,2015-10-28,MCD15A3H,Lai_500m,0.1000,1.2000,661.0150,1.1000,0.1496,0.0078,0.0883,5329,4419,82.92
A2015305,2015-11-01,MCD15A3H,Lai_500m,0.1000,1.0000,923.5103,0.9000,0.1854,0.0098,0.0989,5329,4982,93.49
A2015309,2015-11-05,MCD15A3H,Lai_500m,0.1000,1.0000,1133.1979,0.9000,0.2128,0.0104,0.1021,5329,5324,99.91
A2015313,2015-11-09,MCD15A3H,Lai_500m,0.1000,0.9000,834.3002,0.8000,0.1658,0.0081,0.0900,5329,5031,94.41
A2015317,2015-11-13,MCD15A3H,Lai_500m,0.1000,1.2000,1092.2051,1.1000,0.2051,0.0093,0.0962,5329,5325,99.92
A2015321,2015-11-17,MCD15A3H,Lai_500m,0.1000,1.2000,1138.3917,1.1000,0.2151,0.0104,0.1019,5329,5293,99.32
A2015325,2015-11-21,MCD15A3H,Lai_500m,0.1000,0.9000,1126.6930,0.8000,0.2116,0.0105,0.1026,5329,5325,99.92
A2015329,2015-11-25,MCD15A3H,Lai_500m,0.1000,1.3000,556.8006,1.2000,0.1972,0.0156,0.1251,5329,2824,52.99
A2015333,2015-11-29,MCD15A3H,Lai_500m,0.1000,2.1000,502.1097,2.0000,0.1747,0.0134,0.1157,5329,2874,53.93
A2015337,2015-12-03,MCD15A3H,Lai_500m,0.1000,1.2000,866.1008,1.1000,0.1954,0.0110,0.1048,5329,4432,83.17
A2015341,2015-12-07,MCD15A3H,Lai_500m,0.1000,0.7000,759.4066,0.6000,0.1814,0.0093,0.0962,5329,4186,78.55
A2015345,2015-12-11,MCD15A3H,Lai_500m,0.1000,0.6000,382.2124,0.5000,0.1084,0.0015,0.0387,5329,3526,66.17
A2015349,2015-12-15,MCD15A3H,Lai_500m,0.1000,1.2000,598.8999,1.1000,0.2129,0.0105,0.1026,5329,2813,52.79
A2015353,2015-12-19,MCD15A3H,Lai_500m,0.1000,0.3000,40.2000,0.2000,0.1013,0.0002,0.0150,5329,397,7.45
A2015357,2015-12-23,MCD15A3H,Lai_500m,0.1000,0.9000,187.5012,0.8000,0.1479,0.0133,0.1151,5329,1268,23.79
A2015361,2015-12-27,MCD15A3H,Lai_500m,0.1000,1.5000,173.8998,1.4000,0.1575,0.0189,0.1374,5329,1104,20.72
A2015365,2015-12-31,MCD15A3H,Lai_500m,0.1000,0.9000,262.8018,0.8000,0.1760,0.0143,0.1194,5329,1493,28.02
A2016001,2016-01-01,MCD15A3H,Lai_500m,0.1000,1.3000,344.9044,1.2000,0.1624,0.0123,0.1107,5329,2124,39.86
A2016005,2016-01-05,MCD15A3H,Lai_500m,0.1000,0.9000,754.5980,0.8000,0.1977,0.0105,0.1025,5329,3817,71.63
A2016009,2016-01-09,MCD15A3H,Lai_500m,0.1000,1.2000,787.2013,1.1000,0.1977,0.0104,0.1019,5329,3982,74.72
A2016013,2016-01-13,MCD15A3H,Lai_500m,0.1000,1.5000,613.4002,1.4000,0.1681,0.0144,0.1200,5329,3648,68.46
A2016017,2016-01-17,MCD15A3H,Lai_500m,0.1000,1.0000,732.5004,0.9000,0.1786,0.0081,0.0899,5329,4101,76.96
A2016021,2016-01-21,MCD15A3H,Lai_500m,0.1000,0.7000,629.9041,0.6000,0.1712,0.0082,0.0904,5329,3680,69.06
A2016025,2016-01-25,MCD15A3H,Lai_500m,0.1000,0.6000,849.5016,0.5000,0.1969,0.0076,0.0871,5329,4314,80.95
A2016029,2016-01-29,MCD15A3H,Lai_500m,0.1000,0.8000,733.2009,0.7000,0.2007,0.0092,0.0957,5329,3654,68.57
A2016033,2016-02-02,MCD15A3H,Lai_500m,0.1000,0.7000,848.1984,0.6000,0.2093,0.0084,0.0916,5329,4053,76.06
A2016037,2016-02-06,MCD15A3H,Lai_500m,0.1000,0.9000,882.8004,0.8000,0.1976,0.0082,0.0907,5329,4467,83.82
A2016041,2016-02-10,MCD15A3H,Lai_500m,0.1000,0.9000,899.5991,0.8000,0.1878,0.0077,0.0879,5329,4791,89.90
A2016045,2016-02-14,MCD15A3H,Lai_500m,0.1000,1.2000,660.3927,1.1000,0.1341,0.0046,0.0677,5329,4924,92.40
A2016057,2016-02-26,MCD15A3H,Lai_500m,0.1000,0.9000,1297.6995,0.8000,0.2443,0.0083,0.0910,5329,5311,99.66
A2016061,2016-03-01,MCD15A3H,Lai_500m,0.1000,0.7000,1153.4816,0.6000,0.2180,0.0101,0.1003,5329,5290,99.27
A2016065,2016-03-05,MCD15A3H,Lai_500m,0.1000,1.2000,1156.0001,1.1000,0.2488,0.0246,0.1569,5329,4646,87.18
A2016069,2016-03-09,MCD15A3H,Lai_500m,0.1000,1.3000,1821.8162,1.2000,0.3479,0.0267,0.1635,5329,5237,98.27
A2016073,2016-03-13,MCD15A3H,Lai_500m,0.1000,1.2000,1539.4059,1.1000,0.3152,0.0304,0.1744,5329,4884,91.65
A2016077,2016-03-17,MCD15A3H,Lai_500m,0.1000,1.3000,2233.9153,1.2000,0.4209,0.0239,0.1545,5329,5307,99.59
A2016081,2016-03-21,MCD15A3H,Lai_500m,0.1000,1.3000,1986.0270,1.2000,0.3729,0.0238,0.1543,5329,5326,99.94
A2016085,2016-03-25,MCD15A3H,Lai_500m,0.1000,1.1000,1867.4203,1.0000,0.3512,0.0185,0.1360,5329,5318,99.79
A2016089,2016-03-29,MCD15A3H,Lai_500m,0.1000,1.4000,2422.3140,1.3000,0.4546,0.0176,0.1326,5329,5329,100.00
A2016093,2016-04-02,MCD15A3H,Lai_500m,0.1000,1.8000,2612.7043,1.7000,0.4903,0.0269,0.1640,5329,5329,100.00
A2016097,2016-04-06,MCD15A3H,Lai_500m,0.2000,2.0000,2534.3147,1.8000,0.4756,0.0236,0.1537,5329,5329,100.00
A2016101,2016-04-10,MCD15A3H,Lai_500m,0.2000,2.8000,2660.9995,2.6000,0.4993,0.0341,0.1847,5329,5329,100.00
A2016105,2016-04-14,MCD15A3H,Lai_500m,0.2000,2.7000,2816.3708,2.5000,0.5285,0.0363,0.1905,5329,5329,100.00
A2016109,2016-04-18,MCD15A3H,Lai_500m,0.2000,3.0000,3171.3855,2.8000,0.5951,0.0459,0.2141,5329,5329,100.00
A2016113,2016-04-22,MCD15A3H,Lai_500m,0.1000,0.7000,916.8121,0.6000,0.2286,0.0079,0.0887,5329,4010,75.25
A2016117,2016-04-26,MCD15A3H,Lai_500m,0.1000,2.2000,3202.8960,2.1000,0.6032,0.0484,0.2200,5329,5310,99.64
A2016121,2016-04-30,MCD15A3H,Lai_500m,0.2000,4.2000,3494.5754,4.0000,0.6558,0.0772,0.2779,5329,5329,100.00
A2016125,2016-05-04,MCD15A3H,Lai_500m,0.2000,4.4000,3411.4026,4.2000,0.6404,0.0964,0.3105,5329,5327,99.96
A2016129,2016-05-08,MCD15A3H,Lai_500m,0.2000,4.5000,3709.0784,4.3000,0.6963,0.1361,0.3690,5329,5327,99.96
A2016133,2016-05-12,MCD15A3H,Lai_500m,0.1000,1.9000,3036.0127,1.8000,0.5703,0.0709,0.2663,5329,5324,99.91
A2016137,2016-05-16,MCD15A3H,Lai_500m,0.2000,3.7000,3675.5037,3.5000,0.6897,0.1573,0.3966,5329,5329,100.00
A2016141,2016-05-20,MCD15A3H,Lai_500m,0.1000,3.7000,2151.6892,3.6000,0.5344,0.1871,0.4325,5329,4026,75.55
A2016145,2016-05-24,MCD15A3H,Lai_500m,0.1000,4.5000,3499.3848,4.4000,0.6568,0.1867,0.4321,5329,5328,99.98
A2016149,2016-05-28,MCD15A3H,Lai_500m,0.2000,2.2000,3383.2791,2.0000,0.6349,0.1340,0.3660,5329,5329,100.00
A2016153,2016-06-01,MCD15A3H,Lai_500m,0.1000,6.0000,3144.3447,5.9000,0.5903,0.1704,0.4127,5329,5327,99.96
A2016157,2016-06-05,MCD15A3H,Lai_500m,0.2000,2.7000,3015.3533,2.5000,0.5658,0.1301,0.3607,5329,5329,100.00
A2016161,2016-06-09,MCD15A3H,Lai_500m,0.2000,4.0000,2821.1550,3.8000,0.5294,0.1229,0.3505,5329,5329,100.00
A2016165,2016-06-13,MCD15A3H,Lai_500m,0.1000,3.2000,2871.5522,3.1000,0.5389,0.1152,0.3394,5329,5329,100.00
A2016169,2016-06-17,MCD15A3H,Lai_500m,0.1000,3.5000,2716.0400,3.4000,0.5097,0.1097,0.3312,5329,5329,100.00
A2016173,2016-06-21,MCD15A3H,Lai_500m,0.2000,2.8000,2563.7493,2.6000,0.4815,0.0969,0.3113,5329,5324,99.91
A2016177,2016-06-25,MCD15A3H,Lai_500m,0.1000,3.5000,2439.9409,3.4000,0.4590,0.0852,0.2920,5329,5316,99.76
A2016181,2016-06-29,MCD15A3H,Lai_500m,0.2000,1.8000,2205.6472,1.6000,0.4150,0.0571,0.2390,5329,5315,99.74
A2016185,2016-07-03,MCD15A3H,Lai_500m,0.1000,3.6000,2069.0537,3.5000,0.3889,0.0555,0.2355,5329,5320,99.83
A2016189,2016-07-07,MCD15A3H,Lai_500m,0.1000,2.1000,1995.0583,2.0000,0.3750,0.0522,0.2285,5329,5320,99.83
A2016193,2016-07-11,MCD15A3H,Lai_500m,0.2000,2.0000,2085.7566,1.8000,0.3924,0.0512,0.2263,5329,5315,99.74
A2016197,2016-07-15,MCD15A3H,Lai_500m,0.1000,2.3000,1972.6643,2.2000,0.3703,0.0451,0.2123,5329,5327,99.96
A2016201,2016-07-19,MCD15A3H,Lai_500m,0.1000,2.1000,1897.9592,2.0000,0.3570,0.0425,0.2062,5329,5316,99.76
A2016205,2016-07-23,MCD15A3H,Lai_500m,0.2000,2.2000,1871.3597,2.0000,0.3512,0.0457,0.2138,5329,5329,100.00
A2016209,2016-07-27,MCD15A3H,Lai_500m,0.1000,2.7000,1805.0613,2.6000,0.3394,0.0444,0.2108,5329,5319,99.81
A2016213,2016-07-31,MCD15A3H,Lai_500m,0.1000,2.2000,1744.6670,2.1000,0.3277,0.0356,0.1888,5329,5324,99.91
A2016217,2016-08-04,MCD15A3H,Lai_500m,0.1000,2.3000,1709.6656,2.2000,0.3214,0.0386,0.1966,5329,5320,99.83
A2016221,2016-08-08,MCD15A3H,Lai_500m,0.1000,2.0000,1775.0624,1.9000,0.3334,0.0411,0.2026,5329,5324,99.91
A2016225,2016-08-12,MCD15A3H,Lai_500m,0.2000,1.9000,1644.0692,1.7000,0.3089,0.0300,0.1731,5329,5322,99.87
A2016229,2016-08-16,MCD15A3H,Lai_500m,0.2000,1.4000,1608.3716,1.2000,0.3018,0.0227,0.1508,5329,5329,100.00
A2016233,2016-08-20,MCD15A3H,Lai_500m,0.1000,1.8000,1551.4688,1.7000,0.2914,0.0263,0.1622,5329,5324,99.91
A2016237,2016-08-24,MCD15A3H,Lai_500m,0.1000,1.6000,1558.6667,1.5000,0.2925,0.0288,0.1697,5329,5328,99.98
A2016241,2016-08-28,MCD15A3H,Lai_500m,0.1000,1.7000,1431.4692,1.6000,0.2686,0.0195,0.1398,5329,5329,100.00
A2016245,2016-09-01,MCD15A3H,Lai_500m,0.1000,1.0000,1260.7826,0.9000,0.2374,0.0090,0.0947,5329,5310,99.64
A2016249,2016-09-05,MCD15A3H,Lai_500m,0.1000,4.2000,1513.9738,4.1000,0.2841,0.0275,0.1657,5329,5329,100.00
A2016253,2016-09-09,MCD15A3H,Lai_500m,0.1000,2.0000,1521.0692,1.9000,0.2854,0.0236,0.1537,5329,5329,100.00
A2016257,2016-09-13,MCD15A3H,Lai_500m,0.1000,5.1000,1427.4705,5.0000,0.2679,0.0282,0.1678,5329,5328,99.98
A2016261,2016-09-17,MCD15A3H,Lai_500m,0.1000,1.4000,1270.4847,1.3000,0.2385,0.0131,0.1144,5329,5327,99.96
A2016265,2016-09-21,MCD15A3H,Lai_500m,0.1000,2.0000,1309.3779,1.9000,0.2463,0.0108,0.1038,5329,5317,99.77
A2016269,2016-09-25,MCD15A3H,Lai_500m,0.1000,2.2000,1458.2671,2.1000,0.2736,0.0186,0.1364,5329,5329,100.00
A2016273,2016-09-29,MCD15A3H,Lai_500m,0.1000,2.8000,1328.1776,2.7000,0.2492,0.0148,0.1217,5329,5329,100.00
A2016277,2016-10-03,MCD15A3H,Lai_500m,0.1000,0.8000,815.3881,0.7000,0.1533,0.0067,0.0818,5329,5319,99.81
A2016281,2016-10-07,MCD15A3H,Lai_500m,0.1000,1.6000,1155.2834,1.5000,0.2168,0.0109,0.1044,5329,5329,100.00
A2016285,2016-10-11,MCD15A3H,Lai_500m,0.1000,1.6000,1069.1942,1.5000,0.2006,0.0112,0.1056,5329,5329,100.00
A2016289,2016-10-15,MCD15A3H,Lai_500m,0.1000,1.2000,632.5898,1.1000,0.1331,0.0050,0.0704,5329,4753,89.19
A2016293,2016-10-19,MCD15A3H,Lai_500m,0.1000,1.2000,940.0765,1.1000,0.1764,0.0081,0.0897,5329,5329,100.00
A2016297,2016-10-23,MCD15A3H,Lai_500m,0.1000,1.3000,936.0756,1.2000,0.1757,0.0078,0.0882,5329,5329,100.00
A2016301,2016-10-27,MCD15A3H,Lai_500m,0.1000,0.6000,482.8183,0.5000,0.1127,0.0017,0.0409,5329,4286,80.43
A2016305,2016-10-31,MCD15A3H,Lai_500m,0.1000,1.3000,1052.2640,1.2000,0.1975,0.0093,0.0966,5329,5329,100.00
A2016309,2016-11-04,MCD15A3H,Lai_500m,0.1000,1.4000,1076.4700,1.3000,0.2020,0.0088,0.0941,5329,5329,100.00
A2016313,2016-11-08,MCD15A3H,Lai_500m,0.1000,1.1000,1169.7660,1.0000,0.2195,0.0097,0.0984,5329,5329,100.00
A2016317,2016-11-12,MCD15A3H,Lai_500m,0.1000,0.9000,822.8693,0.8000,0.1688,0.0076,0.0875,5329,4876,91.50
A2016321,2016-11-16,MCD15A3H,Lai_500m,0.1000,1.0000,1067.5732,0.9000,0.2003,0.0089,0.0945,5329,5329,100.00
A2016325,2016-11-20,MCD15A3H,Lai_500m,0.1000,0.7000,903.5562,0.6000,0.1696,0.0066,0.0812,5329,5329,100.00
A2016329,2016-11-24,MCD15A3H,Lai_500m,0.1000,0.7000,913.2667,0.6000,0.1719,0.0061,0.0784,5329,5314,99.72
A2016333,2016-11-28,MCD15A3H,Lai_500m,0.1000,1.0000,533.6129,0.9000,0.1252,0.0040,0.0629,5329,4261,79.96
A2016337,2016-12-02,MCD15A3H,Lai_500m,0.1000,2.5000,704.1956,2.4000,0.1624,0.0105,0.1022,5329,4336,81.37
A2016341,2016-12-06,MCD15A3H,Lai_500m,0.1000,1.0000,255.6038,0.9000,0.1224,0.0041,0.0644,5329,2089,39.20
A2016345,2016-12-10,MCD15A3H,Lai_500m,0.1000,1.3000,744.2768,1.2000,0.1593,0.0090,0.0951,5329,4672,87.67
A2016349,2016-12-14,MCD15A3H,Lai_500m,0.1000,0.1000,2.3000,0.0000,0.1000,0.0000,0.0000,5329,23,0.43
A2016353,2016-12-18,MCD15A3H,Lai_500m,0.1000,1.2000,205.0016,1.1000,0.1452,0.0092,0.0961,5329,1412,26.50
A2016357,2016-12-22,MCD15A3H,Lai_500m,0.1000,0.6000,21.0000,0.5000,0.1338,0.0085,0.0921,5329,157,2.95
A2016361,2016-12-26,MCD15A3H,Lai_500m,0.1000,0.5000,13.5000,0.4000,0.1298,0.0061,0.0783,5329,104,1.95
A2016365,2016-12-30,MCD15A3H,Lai_500m,0.1000,0.5000,19.0000,0.4000,0.1250,0.0054,0.0737,5329,152,2.85
A2017001,2017-01-01,MCD15A3H,Lai_500m,0.1000,0.3000,5.0000,0.2000,0.1351,0.0028,0.0531,5329,37,0.69
A2017005,2017-01-05,MCD15A3H,Lai_500m,0.1000,0.1000,2.5000,0.0000,0.1000,0.0000,0.0000,5329,25,0.47
A2017009,2017-01-09,MCD15A3H,Lai_500m,0.1000,0.1000,12.0000,0.0000,0.1000,0.0000,0.0000,5329,120,2.25
A2017013,2017-01-13,MCD15A3H,Lai_500m,0.1000,1.2000,36.1000,1.1000,0.1778,0.0433,0.2081,5329,203,3.81
A2017017,2017-01-17,MCD15A3H,Lai_500m,0.1000,0.5000,13.2000,0.4000,0.1419,0.0106,0.1030,5329,93,1.75
A2017021,2017-01-21,MCD15A3H,Lai_500m,0.1000,0.2000,1.3000,0.1000,0.1083,0.0008,0.0276,5329,12,0.23
A2017025,2017-01-25,MCD15A3H,Lai_500m,0.1000,0.1000,2.9000,0.0000,0.1000,0.0000,0.0000,5329,29,0.54
A2017029,2017-01-29,MCD15A3H,Lai_500m,,,,,,,,5329,0,0.00
A2017033,2017-02-02,MCD15A3H,Lai_500m,0.1000,0.3000,18.2000,0.2000,0.1159,0.0017,0.0415,5329,157,2.95
A2017037,2017-02-06,MCD15A3H,Lai_500m,0.1000,0.3000,114.8993,0.2000,0.1212,0.0028,0.0526,5329,948,17.79
A2017041,2017-02-10,MCD15A3H,Lai_500m,0.1000,0.6000,620.4960,0.5000,0.1319,0.0036,0.0598,5329,4705,88.29
