date[YYYYDDD],date,product,band,min,max,sum,range,mean,variance,standard_deviation,tot_pixels,pixels_pass_qa,per_cent_pixels_pass_qa
A2015005,2015-01-05,MCD15A3H,Lai_500m,0.1000,4.9000,3637.8000,4.8000,1.7565,1.1235,1.0600,5329,2071,38.86
A2015009,2015-01-09,MCD15A3H,Lai_500m,0.1000,6.9000,4017.7112,6.8000,1.9456,1.7758,1.3326,5329,2065,38.75
A2015013,2015-01-13,MCD15A3H,Lai_500m,0.1000,2.9000,1181.5985,2.8000,0.9131,0.4132,0.6428,5329,1294,24.28
A2015017,2015-01-17,MCD15A3H,Lai_500m,0.1000,6.9000,4333.9995,6.8000,2.0927,1.7568,1.3254,5329,2071,38.86
A2015021,2015-01-21,MCD15A3H,Lai_500m,0.1000,5.3000,2570.0164,5.2000,1.2915,0.9870,0.9935,5329,1990,37.34
A2015025,2015-01-25,MCD15A3H,Lai_500m,0.1000,6.9000,3645.9084,6.8000,1.7776,1.0711,1.0349,5329,2051,38.49
A2015029,2015-01-29,MCD15A3H,Lai_500m,0.1000,6.9000,4365.7949,6.8000,2.1081,1.9029,1.3794,5329,2071,38.86
A2015033,2015-02-02,MCD15A3H,Lai_500m,0.1000,5.7000,4510.6997,5.6000,2.1791,1.7145,1.3094,5329,2070,38.84
A2015037,2015-02-06,MCD15A3H,Lai_500m,0.1000,5.7000,5354.3076,5.6000,2.5854,2.2856,1.5118,5329,2071,38.86
A2015041,2015-02-10,MCD15A3H,Lai_500m,0.1000,6.8000,4410.7080,6.7000,2.1339,1.3784,1.1740,5329,2067,38.79
A2015045,2015-02-14,MCD15A3H,Lai_500m,0.1000,5.6000,5178.8018,5.5000,2.5006,2.0294,1.4246,5329,2071,38.86
A2015049,2015-02-18,MCD15A3H,Lai_500m,0.1000,5.6000,5817.7998,5.5000,2.8092,2.6794,1.6369,5329,2071,38.86
A2015053,2015-02-22,MCD15A3H,Lai_500m,0.1000,5.6000,2204.5032,5.5000,1.4095,1.6879,1.2992,5329,1564,29.35
A2015057,2015-02-26,MCD15A3H,Lai_500m,0.1000,3.9000,2638.2080,3.8000,1.3304,0.9357,0.9673,5329,1983,37.21
A2015061,2015-03-02,MCD15A3H,Lai_500m,0.1000,5.7000,3224.1067,5.6000,1.5636,0.9043,0.9510,5329,2062,38.69
A2015065,2015-03-06,MCD15A3H,Lai_500m,0.1000,5.0000,5052.7202,4.9000,2.4397,2.2059,1.4852,5329,2071,38.86
A2015069,2015-03-10,MCD15A3H,Lai_500m,0.1000,5.9000,5099.4111,5.8000,2.4803,2.4864,1.5768,5329,2056,38.58
A2015073,2015-03-14,MCD15A3H,Lai_500m,0.1000,5.9000,5488.3008,5.8000,2.6501,2.3163,1.5219,5329,2071,38.86
A2015077,2015-03-18,MCD15A3H,Lai_500m,0.1000,5.6000,3383.1062,5.5000,1.7287,1.6951,1.3020,5329,1957,36.72
A2015081,2015-03-22,MCD15A3H,Lai_500m,0.1000,5.6000,234.4002,5.5000,0.7561,1.6973,1.3028,5329,310,5.82
A2015085,2015-03-26,MCD15A3H,Lai_500m,0.1000,6.6000,6973.3057,6.5000,3.3671,4.4884,2.1186,5329,2071,38.86
