date[YYYYDDD],date,product,band,min,max,sum,range,mean,variance,standard_deviation,tot_pixels,pixels_pass_qa,per_cent_pixels_pass_qa
A2015005,2015-01-05,MCD15A3H,Lai_500m,0.1000,0.4000,17.9000,0.3000,0.1078,0.0013,0.0364,5329,166,3.12
A2015009,2015-01-09,MCD15A3H,Lai_500m,0.1000,0.2000,5.7000,0.1000,0.1056,0.0005,0.0229,5329,54,1.01
A2015013,2015-01-13,MCD15A3H,Lai_500m,0.1000,0.3000,17.3000,0.2000,0.1061,0.0008,0.0287,5329,163,3.06
A2015017,2015-01-17,MCD15A3H,Lai_500m,0.1000,0.1000,11.3000,0.0000,0.1000,0.0000,0.0000,5329,113,2.12
A2015021,2015-01-21,MCD15A3H,Lai_500m,0.1000,0.2000,28.1001,0.1000,0.1037,0.0004,0.0189,5329,271,5.09
A2015025,2015-01-25,MCD15A3H,Lai_500m,0.1000,0.6000,39.5000,0.5000,0.1068,0.0016,0.0400,5329,370,6.94
A2015029,2015-01-29,MCD15A3H,Lai_500m,0.1000,0.5000,85.1993,0.4000,0.1049,0.0010,0.0318,5329,812,15.24
A2015033,2015-02-02,MCD15A3H,Lai_500m,0.1000,0.1000,48.0998,0.0000,0.1000,0.0000,0.0000,5329,481,9.03
A2015037,2015-02-06,MCD15A3H,Lai_500m,0.1000,0.5000,285.0082,0.4000,0.1081,0.0011,0.0327,5329,2637,49.48
A2015041,2015-02-10,MCD15A3H,Lai_500m,0.1000,0.3000,369.6121,0.2000,0.1085,0.0010,0.0323,5329,3407,63.93
A2015045,2015-02-14,MCD15A3H,Lai_500m,0.1000,0.6000,423.1126,0.5000,0.1281,0.0032,0.0566,5329,3304,62.00
A2015049,2015-02-18,MCD15A3H,Lai_500m,0.1000,0.7000,412.0129,0.6000,0.1165,0.0022,0.0465,5329,3536,66.35
A2015053,2015-02-22,MCD15A3H,Lai_500m,0.1000,1.9000,479.4138,1.8000,0.1367,0.0071,0.0841,5329,3506,65.79
A2015057,2015-02-26,MCD15A3H,Lai_500m,0.1000,0.9000,446.3138,0.8000,0.1265,0.0050,0.0709,5329,3529,66.22
A2015061,2015-03-02,MCD15A3H,Lai_500m,0.1000,1.1000,438.8129,1.0000,0.1313,0.0063,0.0795,5329,3342,62.71
A2015065,2015-03-06,MCD15A3H,Lai_500m,0.1000,0.6000,570.9102,0.5000,0.1470,0.0047,0.0688,5329,3884,72.88
A2015069,2015-03-10,MCD15A3H,Lai_500m,0.1000,0.9000,641.3056,0.8000,0.1751,0.0081,0.0902,5329,3662,68.72
A2015073,2015-03-14,MCD15A3H,Lai_500m,0.1000,0.2000,279.9079,0.1000,0.1001,0.0000,0.0027,5329,2797,52.49
A2015077,2015-03-18,MCD15A3H,Lai_500m,0.1000,1.0000,843.9891,0.9000,0.2113,0.0119,0.1089,5329,3995,74.97
A2015081,2015-03-22,MCD15A3H,Lai_500m,0.1000,0.8000,816.7793,0.7000,0.1844,0.0075,0.0866,5329,4430,83.13
A2015085,2015-03-26,MCD15A3H,Lai_500m,0.1000,1.3000,1017.9836,1.2000,0.2600,0.0144,0.1201,5329,3915,73.47
A2015089,2015-03-30,MCD15A3H,Lai_500m,0.1000,1.1000,1109.1748,1.0000,0.2499,0.0151,0.1230,5329,4439,83.30
A2015093,2015-04-03,MCD15A3H,Lai_500m,0.1000,1.1000,1121.0833,1.0000,0.2543,0.0158,0.1256,5329,4409,82.74
A2015097,2015-04-07,MCD15A3H,Lai_500m,0.1000,1.4000,937.3764,1.3000,0.2182,0.0139,0.1180,5329,4296,80.62
A2015101,2015-04-11,MCD15A3H,Lai_500m,0.1000,1.1000,1233.2922,1.0000,0.2805,0.0205,0.1431,5329,4396,82.49
A2015105,2015-04-15,MCD15A3H,Lai_500m,0.1000,1.5000,1253.5973,1.4000,0.2928,0.0214,0.1462,5329,4282,80.35
A2015109,2015-04-19,MCD15A3H,Lai_500m,0.1000,2.1000,1669.2902,2.0000,0.3895,0.0348,0.1865,5329,4286,80.43
A2015113,2015-04-23,MCD15A3H,Lai_500m,0.1000,2.3000,1328.7871,2.2000,0.2977,0.0312,0.1767,5329,4464,83.77
A2015117,2015-04-27,MCD15A3H,Lai_500m,0.1000,2.2000,1889.8837,2.1000,0.4505,0.0415,0.2036,5329,4195,78.72
A2015121,2015-05-01,MCD15A3H,Lai_500m,0.1000,2.6000,2135.6914,2.5000,0.4798,0.0603,0.2456,5329,4451,83.52
A2015125,2015-05-05,MCD15A3H,Lai_500m,0.1000,1.9000,1631.2842,1.8000,0.3687,0.0551,0.2348,5329,4424,83.02
A2015129,2015-05-09,MCD15A3H,Lai_500m,0.1000,2.2000,2316.7959,2.1000,0.5143,0.0726,0.2694,5329,4505,84.54
A2015133,2015-05-13,MCD15A3H,Lai_500m,0.1000,1.7000,2238.3875,1.6000,0.4981,0.0703,0.2651,5329,4494,84.33
A2015137,2015-05-17,MCD15A3H,Lai_500m,0.1000,1.4000,535.4078,1.3000,0.1731,0.0194,0.1392,5329,3093,58.04
A2015141,2015-05-21,MCD15A3H,Lai_500m,0.1000,2.3000,1737.9585,2.2000,0.4055,0.1073,0.3276,5329,4286,80.43
A2015145,2015-05-25,MCD15A3H,Lai_500m,0.1000,4.6000,2702.1196,4.5000,0.5981,0.1117,0.3342,5329,4518,84.78
A2015149,2015-05-29,MCD15A3H,Lai_500m,0.1000,3.0000,2482.8345,2.9000,0.5472,0.1228,0.3504,5329,4537,85.14
A2015153,2015-06-02,MCD15A3H,Lai_500m,0.1000,2.3000,3037.5342,2.2000,0.6697,0.1344,0.3666,5329,4536,85.12
A2015157,2015-06-06,MCD15A3H,Lai_500m,0.1000,6.6000,3722.2578,6.5000,0.8246,0.2559,0.5058,5329,4514,84.71
A2015161,2015-06-10,MCD15A3H,Lai_500m,0.1000,3.3000,3558.5303,3.2000,0.7847,0.2088,0.4570,5329,4535,85.10
A2015165,2015-06-14,MCD15A3H,Lai_500m,0.1000,3.9000,3385.9060,3.8000,0.7583,0.2241,0.4734,5329,4465,83.79
A2015169,2015-06-18,MCD15A3H,Lai_500m,0.1000,3.7000,3159.4883,3.6000,0.7095,0.1867,0.4320,5329,4453,83.56
A2015173,2015-06-22,MCD15A3H,Lai_500m,0.1000,3.5000,3234.5164,3.4000,0.7484,0.2202,0.4692,5329,4322,81.10
A2015177,2015-06-26,MCD15A3H,Lai_500m,0.1000,3.5000,2891.7449,3.4000,0.6491,0.1839,0.4288,5329,4455,83.60
A2015181,2015-06-30,MCD15A3H,Lai_500m,0.1000,3.8000,2886.0339,3.7000,0.6524,0.2001,0.4473,5329,4424,83.02
A2015185,2015-07-04,MCD15A3H,Lai_500m,0.1000,2.5000,2306.3455,2.4000,0.5086,0.1164,0.3412,5329,4535,85.10
A2015189,2015-07-08,MCD15A3H,Lai_500m,0.1000,2.1000,2140.8867,2.0000,0.4735,0.1029,0.3207,5329,4521,84.84
A2015193,2015-07-12,MCD15A3H,Lai_500m,0.1000,2.8000,2100.8069,2.7000,0.4660,0.1106,0.3326,5329,4508,84.59
A2015197,2015-07-16,MCD15A3H,Lai_500m,0.1000,5.4000,2186.4836,5.3000,0.4978,0.1386,0.3723,5329,4392,82.42
A2015201,2015-07-20,MCD15A3H,Lai_500m,0.1000,3.6000,2116.9861,3.5000,0.4765,0.1059,0.3254,5329,4443,83.37
A2015205,2015-07-24,MCD15A3H,Lai_500m,0.1000,2.4000,2181.2981,2.3000,0.4923,0.1150,0.3391,5329,4431,83.15
A2015209,2015-07-28,MCD15A3H,Lai_500m,0.1000,2.7000,2021.3816,2.6000,0.4707,0.0888,0.2981,5329,4294,80.58
A2015213,2015-08-01,MCD15A3H,Lai_500m,0.1000,2.8000,1849.7623,2.7000,0.4232,0.0786,0.2803,5329,4371,82.02
A2015217,2015-08-05,MCD15A3H,Lai_500m,0.1000,2.0000,1537.9515,1.9000,0.3461,0.0507,0.2253,5329,4444,83.39
A2015221,2015-08-09,MCD15A3H,Lai_500m,0.1000,2.0000,1888.5735,1.9000,0.4190,0.0744,0.2728,5329,4507,84.57
A2015225,2015-08-13,MCD15A3H,Lai_500m,0.1000,1.7000,1740.6748,1.6000,0.3971,0.0588,0.2424,5329,4384,82.27
A2015229,2015-08-17,MCD15A3H,Lai_500m,0.1000,2.3000,1771.5919,2.2000,0.4181,0.0571,0.2390,5329,4237,79.51
A2015233,2015-08-21,MCD15A3H,Lai_500m,0.1000,1.8000,1627.4727,1.7000,0.3728,0.0518,0.2275,5329,4366,81.93
A2015237,2015-08-25,MCD15A3H,Lai_500m,0.1000,1.4000,1492.9524,1.3000,0.3350,0.0383,0.1957,5329,4456,83.62
A2015241,2015-08-29,MCD15A3H,Lai_500m,0.1000,1.3000,1371.7373,1.2000,0.3024,0.0308,0.1755,5329,4536,85.12
A2015245,2015-09-02,MCD15A3H,Lai_500m,0.1000,1.3000,1331.7511,1.2000,0.2939,0.0277,0.1664,5329,4531,85.03
A2015249,2015-09-06,MCD15A3H,Lai_500m,0.1000,1.2000,1307.6335,1.1000,0.2956,0.0273,0.1654,5329,4423,83.00
A2015253,2015-09-10,MCD15A3H,Lai_500m,0.1000,1.5000,1374.8475,1.4000,0.3170,0.0315,0.1775,5329,4337,81.38
A2015257,2015-09-14,MCD15A3H,Lai_500m,0.1000,1.2000,915.0800,1.1000,0.2168,0.0228,0.1510,5329,4221,79.21
A2015261,2015-09-18,MCD15A3H,Lai_500m,0.1000,1.8000,1270.1479,1.7000,0.2929,0.0271,0.1645,5329,4336,81.37
A2015265,2015-09-22,MCD15A3H,Lai_500m,0.1000,1.2000,1114.4556,1.1000,0.2525,0.0202,0.1420,5329,4414,82.83
A2015269,2015-09-26,MCD15A3H,Lai_500m,0.1000,1.5000,1249.7465,1.4000,0.2941,0.0233,0.1528,5329,4249,79.73
A2015273,2015-09-30,MCD15A3H,Lai_500m,0.1000,1.0000,819.1650,0.9000,0.1837,0.0099,0.0996,5329,4460,83.69
A2015277,2015-10-04,MCD15A3H,Lai_500m,0.1000,1.3000,1005.5811,1.2000,0.2354,0.0148,0.1218,5329,4271,80.15
A2015281,2015-10-08,MCD15A3H,Lai_500m,0.1000,1.7000,952.1674,1.6000,0.2105,0.0141,0.1185,5329,4524,84.89
A2015285,2015-10-12,MCD15A3H,Lai_500m,0.1000,1.3000,864.5646,1.2000,0.2137,0.0148,0.1217,5329,4045,75.91
A2015289,2015-10-16,MCD15A3H,Lai_500m,0.1000,1.5000,794.1551,1.4000,0.1770,0.0103,0.1013,5329,4488,84.22
A2015293,2015-10-20,MCD15A3H,Lai_500m,0.1000,1.2000,793.5660,1.1000,0.1932,0.0125,0.1118,5329,4108,77.09
A2015297,2015-10-24,MCD15A3H,Lai_500m,0.1000,1.1000,847.9539,1.0000,0.1887,0.0116,0.1075,5329,4493,84.31
A2015301,2015-10-28,MCD15A3H,Lai_500m,0.1000,0.6000,293.5086,0.5000,0.1031,0.0005,0.0227,5329,2848,53.44
A2015305,2015-11-01,MCD15A3H,Lai_500m,0.1000,0.1000,2.7000,0.0000,0.1000,0.0000,0.0000,5329,27,0.51
A2015309,2015-11-05,MCD15A3H,Lai_500m,0.1000,1.0000,586.3945,0.9000,0.1486,0.0076,0.0874,5329,3946,74.05
A2015313,2015-11-09,MCD15A3H,Lai_500m,0.1000,1.8000,524.8123,1.7000,0.1356,0.0073,0.0853,5329,3869,72.60
A2015317,2015-11-13,MCD15A3H,Lai_500m,0.1000,1.2000,621.8859,1.1000,0.1489,0.0071,0.0842,5329,4176,78.36
A2015321,2015-11-17,MCD15A3H,Lai_500m,0.1000,1.1000,586.5948,1.0000,0.1390,0.0062,0.0789,5329,4219,79.17
A2015325,2015-11-21,MCD15A3H,Lai_500m,0.1000,1.7000,639.4810,1.6000,0.1502,0.0100,0.0998,5329,4257,79.88
A2015329,2015-11-25,MCD15A3H,Lai_500m,0.1000,0.9000,336.3095,0.8000,0.1228,0.0044,0.0667,5329,2739,51.40
A2015333,2015-11-29,MCD15A3H,Lai_500m,0.1000,1.3000,542.0067,1.2000,0.1579,0.0148,0.1215,5329,3433,64.42
A2015337,2015-12-03,MCD15A3H,Lai_500m,0.1000,1.6000,490.3160,1.5000,0.1297,0.0083,0.0912,5329,3779,70.91
A2015341,2015-12-07,MCD15A3H,Lai_500m,0.1000,0.3000,222.1044,0.2000,0.1034,0.0005,0.0223,5329,2148,40.31
A2015345,2015-12-11,MCD15A3H,Lai_500m,0.1000,0.3000,17.6000,0.2000,0.1060,0.0009,0.0305,5329,166,3.12
A2015349,2015-12-15,MCD15A3H,Lai_500m,0.1000,0.2000,4.3000,0.1000,0.1024,0.0002,0.0152,5329,42,0.79
A2015353,2015-12-19,MCD15A3H,Lai_500m,0.1000,0.1000,0.6000,0.0000,0.1000,0.0000,0.0000,5329,6,0.11
A2015357,2015-12-23,MCD15A3H,Lai_500m,0.1000,0.3000,8.5000,0.2000,0.1133,0.0020,0.0442,5329,75,1.41
A2015361,2015-12-27,MCD15A3H,Lai_500m,0.1000,0.2000,6.6000,0.1000,0.1082,0.0008,0.0274,5329,61,1.14
A2015365,2015-12-31,MCD15A3H,Lai_500m,0.1000,0.3000,11.5000,0.2000,0.1085,0.0013,0.0366,5329,106,1.99
A2016001,2016-01-01,MCD15A3H,Lai_500m,0.1000,0.3000,11.2000,0.2000,0.1098,0.0015,0.0384,5329,102,1.91
A2016005,2016-01-05,MCD15A3H,Lai_500m,0.1000,0.1000,3.0000,0.0000,0.1000,0.0000,0.0000,5329,30,0.56
A2016009,2016-01-09,MCD15A3H,Lai_500m,0.1000,0.3000,9.6000,0.2000,0.1116,0.0020,0.0442,5329,86,1.61
A2016013,2016-01-13,MCD15A3H,Lai_500m,0.1000,0.4000,9.2000,0.3000,0.1082,0.0015,0.0382,5329,85,1.60
A2016017,2016-01-17,MCD15A3H,Lai_500m,0.1000,0.4000,10.8000,0.3000,0.1113,0.0020,0.0451,5329,97,1.82
A2016021,2016-01-21,MCD15A3H,Lai_500m,0.1000,0.3000,5.7000,0.2000,0.1118,0.0014,0.0378,5329,51,0.96
A2016025,2016-01-25,MCD15A3H,Lai_500m,0.1000,0.3000,7.4000,0.2000,0.1057,0.0011,0.0333,5329,70,1.31
A2016029,2016-01-29,MCD15A3H,Lai_500m,0.1000,0.4000,8.5000,0.3000,0.1090,0.0016,0.0398,5329,78,1.46
A2016033,2016-02-02,MCD15A3H,Lai_500m,0.1000,0.6000,13.5000,0.5000,0.1125,0.0031,0.0556,5329,120,2.25
A2016037,2016-02-06,MCD15A3H,Lai_500m,0.1000,0.2000,8.8000,0.1000,0.1011,0.0001,0.0107,5329,87,1.63
A2016041,2016-02-10,MCD15A3H,Lai_500m,0.1000,0.3000,12.1000,0.2000,0.1052,0.0008,0.0290,5329,115,2.16
A2016045,2016-02-14,MCD15A3H,Lai_500m,0.1000,0.2000,10.5000,0.1000,0.1061,0.0006,0.0239,5329,99,1.86
A2016057,2016-02-26,MCD15A3H,Lai_500m,0.1000,0.2000,9.9000,0.1000,0.1021,0.0002,0.0142,5329,97,1.82
A2016061,2016-03-01,MCD15A3H,Lai_500m,0.1000,0.4000,27.5001,0.3000,0.1074,0.0012,0.0340,5329,256,4.80
A2016065,2016-03-05,MCD15A3H,Lai_500m,0.1000,0.6000,65.6996,0.5000,0.1056,0.0010,0.0313,5329,622,11.67
A2016069,2016-03-09,MCD15A3H,Lai_500m,0.1000,0.4000,100.5992,0.3000,0.1082,0.0012,0.0340,5329,930,17.45
A2016073,2016-03-13,MCD15A3H,Lai_500m,0.1000,1.4000,163.7000,1.3000,0.1261,0.0101,0.1005,5329,1298,24.36
A2016077,2016-03-17,MCD15A3H,Lai_500m,0.1000,0.9000,230.9034,0.8000,0.1207,0.0035,0.0595,5329,1913,35.90
A2016081,2016-03-21,MCD15A3H,Lai_500m,0.1000,0.7000,297.2044,0.6000,0.1321,0.0033,0.0577,5329,2249,42.20
A2016085,2016-03-25,MCD15A3H,Lai_500m,0.1000,1.2000,334.1078,1.1000,0.1279,0.0039,0.0625,5329,2613,49.03
A2016089,2016-03-29,MCD15A3H,Lai_500m,0.1000,1.6000,381.2108,1.5000,0.1368,0.0066,0.0811,5329,2786,52.28
A2016093,2016-04-02,MCD15A3H,Lai_500m,0.1000,0.6000,497.6139,0.5000,0.1507,0.0051,0.0715,5329,3303,61.98
A2016097,2016-04-06,MCD15A3H,Lai_500m,0.1000,1.1000,616.3070,1.0000,0.1777,0.0080,0.0894,5329,3469,65.10
A2016101,2016-04-10,MCD15A3H,Lai_500m,0.1000,1.2000,847.7825,1.1000,0.2059,0.0145,0.1202,5329,4118,77.28
A2016105,2016-04-14,MCD15A3H,Lai_500m,0.1000,1.1000,1033.8776,1.0000,0.2408,0.0167,0.1294,5329,4294,80.58
A2016109,2016-04-18,MCD15A3H,Lai_500m,0.1000,1.4000,1200.4023,1.3000,0.2976,0.0268,0.1637,5329,4033,75.68
A2016113,2016-04-22,MCD15A3H,Lai_500m,0.1000,0.9000,1036.5891,0.8000,0.2455,0.0235,0.1533,5329,4222,79.23
A2016117,2016-04-26,MCD15A3H,Lai_500m,0.1000,1.2000,657.8022,1.1000,0.2274,0.0337,0.1837,5329,2893,54.29
A2016121,2016-04-30,MCD15A3H,Lai_500m,0.1000,1.9000,1724.7841,1.8000,0.4177,0.0441,0.2100,5329,4129,77.48
A2016125,2016-05-04,MCD15A3H,Lai_500m,0.1000,1.5000,1192.3772,1.4000,0.2666,0.0280,0.1674,5329,4473,83.94
A2016129,2016-05-08,MCD15A3H,Lai_500m,0.1000,2.4000,2375.3191,2.3000,0.5391,0.0910,0.3017,5329,4406,82.68
A2016133,2016-05-12,MCD15A3H,Lai_500m,0.1000,2.1000,2125.6846,2.0000,0.4700,0.0633,0.2515,5329,4523,84.88
A2016137,2016-05-16,MCD15A3H,Lai_500m,0.1000,2.6000,1718.2743,2.5000,0.3946,0.0869,0.2947,5329,4355,81.72
A2016141,2016-05-20,MCD15A3H,Lai_500m,0.1000,3.1000,2339.1006,3.0000,0.5431,0.1388,0.3726,5329,4307,80.82
A2016145,2016-05-24,MCD15A3H,Lai_500m,0.1000,3.8000,2715.4255,3.7000,0.6064,0.1377,0.3711,5329,4478,84.03
A2016149,2016-05-28,MCD15A3H,Lai_500m,0.1000,5.3000,3029.2114,5.2000,0.6678,0.1224,0.3498,5329,4536,85.12
A2016153,2016-06-01,MCD15A3H,Lai_500m,0.1000,3.5000,3312.3225,3.4000,0.7297,0.1535,0.3917,5329,4539,85.18
A2016157,2016-06-05,MCD15A3H,Lai_500m,0.1000,5.7000,3561.4331,5.6000,0.8023,0.1881,0.4337,5329,4439,83.30
A2016161,2016-06-09,MCD15A3H,Lai_500m,0.1000,3.4000,3346.7412,3.3000,0.7373,0.1994,0.4465,5329,4539,85.18
A2016165,2016-06-13,MCD15A3H,Lai_500m,0.1000,4.4000,3313.4385,4.3000,0.7323,0.1984,0.4454,5329,4525,84.91
A2016169,2016-06-17,MCD15A3H,Lai_500m,0.1000,3.0000,3340.1206,2.9000,0.7446,0.1800,0.4243,5329,4486,84.18
A2016173,2016-06-21,MCD15A3H,Lai_500m,0.1000,3.0000,3188.7944,2.9000,0.7358,0.1647,0.4058,5329,4334,81.33
A2016177,2016-06-25,MCD15A3H,Lai_500m,0.1000,2.7000,3024.0088,2.6000,0.6995,0.1706,0.4131,5329,4323,81.12
A2016181,2016-06-29,MCD15A3H,Lai_500m,0.1000,2.3000,2921.3064,2.2000,0.6606,0.1508,0.3883,5329,4422,82.98
A2016185,2016-07-03,MCD15A3H,Lai_500m,0.1000,2.5000,2833.1187,2.4000,0.6362,0.1557,0.3946,5329,4453,83.56
A2016189,2016-07-07,MCD15A3H,Lai_500m,0.1000,3.8000,2504.2307,3.7000,0.5721,0.1214,0.3485,5329,4377,82.14
A2016193,2016-07-11,MCD15A3H,Lai_500m,0.1000,2.5000,2663.1223,2.4000,0.6006,0.1341,0.3661,5329,4434,83.21
A2016197,2016-07-15,MCD15A3H,Lai_500m,0.1000,2.4000,2328.0337,2.3000,0.5322,0.1004,0.3169,5329,4374,82.08
A2016201,2016-07-19,MCD15A3H,Lai_500m,0.1000,2.7000,2226.0244,2.6000,0.5165,0.0917,0.3029,5329,4310,80.88
A2016205,2016-07-23,MCD15A3H,Lai_500m,0.1000,2.1000,2130.0105,2.0000,0.4926,0.0805,0.2837,5329,4324,81.14
A2016209,2016-07-27,MCD15A3H,Lai_500m,0.1000,3.0000,2062.7996,2.9000,0.4764,0.0797,0.2822,5329,4330,81.25
A2016213,2016-07-31,MCD15A3H,Lai_500m,0.1000,1.6000,1947.6094,1.5000,0.4505,0.0585,0.2418,5329,4323,81.12
A2016217,2016-08-04,MCD15A3H,Lai_500m,0.1000,2.4000,1915.2933,2.3000,0.4282,0.0618,0.2486,5329,4473,83.94
A2016221,2016-08-08,MCD15A3H,Lai_500m,0.1000,1.6000,1830.8956,1.5000,0.4215,0.0466,0.2158,5329,4344,81.52
A2016225,2016-08-12,MCD15A3H,Lai_500m,0.1000,2.2000,1806.0850,2.1000,0.4029,0.0570,0.2386,5329,4483,84.12
A2016229,2016-08-16,MCD15A3H,Lai_500m,0.1000,1.4000,1780.5824,1.3000,0.4038,0.0475,0.2179,5329,4410,82.75
A2016233,2016-08-20,MCD15A3H,Lai_500m,0.1000,1.6000,1671.0065,1.5000,0.3923,0.0448,0.2118,5329,4259,79.92
A2016237,2016-08-24,MCD15A3H,Lai_500m,0.1000,2.6000,1535.4647,2.5000,0.3440,0.0425,0.2061,5329,4463,83.75
A2016241,2016-08-28,MCD15A3H,Lai_500m,0.1000,1.7000,1522.8666,1.6000,0.3359,0.0362,0.1901,5329,4534,85.08
A2016245,2016-09-01,MCD15A3H,Lai_500m,0.1000,1.6000,1101.9575,1.5000,0.2531,0.0215,0.1466,5329,4353,81.69
A2016249,2016-09-05,MCD15A3H,Lai_500m,0.1000,1.7000,1467.5818,1.6000,0.3235,0.0279,0.1670,5329,4537,85.14
A2016253,2016-09-09,MCD15A3H,Lai_500m,0.1000,1.2000,1411.0660,1.1000,0.3200,0.0271,0.1645,5329,4410,82.75
A2016257,2016-09-13,MCD15A3H,Lai_500m,0.1000,1.4000,1050.6824,1.3000,0.2443,0.0244,0.1560,5329,4301,80.71
A2016261,2016-09-17,MCD15A3H,Lai_500m,0.1000,1.3000,1284.8588,1.2000,0.2863,0.0205,0.1433,5329,4488,84.22
A2016265,2016-09-21,MCD15A3H,Lai_500m,0.1000,1.4000,1134.8544,1.3000,0.2623,0.0208,0.1442,5329,4326,81.18
A2016269,2016-09-25,MCD15A3H,Lai_500m,0.1000,1.4000,1325.9459,1.3000,0.2968,0.0239,0.1548,5329,4467,83.82
A2016273,2016-09-29,MCD15A3H,Lai_500m,0.1000,2.1000,1309.6758,2.0000,0.2950,0.0256,0.1600,5329,4440,83.32
A2016277,2016-10-03,MCD15A3H,Lai_500m,0.1000,1.1000,583.9059,1.0000,0.1692,0.0107,0.1033,5329,3450,64.74
A2016281,2016-10-07,MCD15A3H,Lai_500m,0.1000,1.2000,1091.7657,1.1000,0.2459,0.0133,0.1154,5329,4439,83.30
A2016285,2016-10-11,MCD15A3H,Lai_500m,0.1000,0.9000,1063.1754,0.8000,0.2481,0.0098,0.0992,5329,4285,80.41
A2016289,2016-10-15,MCD15A3H,Lai_500m,0.1000,1.7000,814.5782,1.6000,0.1911,0.0119,0.1092,5329,4263,80.00
A2016293,2016-10-19,MCD15A3H,Lai_500m,0.1000,1.2000,1026.3668,1.1000,0.2320,0.0118,0.1085,5329,4424,83.02
A2016297,2016-10-23,MCD15A3H,Lai_500m,0.1000,0.9000,904.5760,0.8000,0.1995,0.0084,0.0914,5329,4535,85.10
A2016301,2016-10-27,MCD15A3H,Lai_500m,0.1000,1.4000,633.2830,1.3000,0.1433,0.0070,0.0836,5329,4419,82.92
A2016305,2016-10-31,MCD15A3H,Lai_500m,0.1000,1.2000,918.4664,1.1000,0.2104,0.0131,0.1146,5329,4365,81.91
A2016309,2016-11-04,MCD15A3H,Lai_500m,0.1000,0.9000,995.4617,0.8000,0.2241,0.0108,0.1039,5329,4443,83.37
A2016313,2016-11-08,MCD15A3H,Lai_500m,0.1000,0.9000,1005.4694,0.8000,0.2452,0.0109,0.1042,5329,4100,76.94
A2016317,2016-11-12,MCD15A3H,Lai_500m,0.1000,0.7000,943.0670,0.6000,0.2093,0.0101,0.1003,5329,4505,84.54
A2016321,2016-11-16,MCD15A3H,Lai_500m,0.1000,1.8000,953.4690,1.7000,0.2118,0.0120,0.1093,5329,4501,84.46
A2016325,2016-11-20,MCD15A3H,Lai_500m,0.1000,1.4000,723.9689,1.3000,0.1869,0.0116,0.1079,5329,3874,72.70
A2016329,2016-11-24,MCD15A3H,Lai_500m,0.1000,1.0000,578.2033,0.9000,0.1410,0.0056,0.0751,5329,4101,76.96
A2016333,2016-11-28,MCD15A3H,Lai_500m,0.1000,1.2000,668.2934,1.1000,0.1715,0.0136,0.1166,5329,3896,73.11
A2016337,2016-12-02,MCD15A3H,Lai_500m,0.1000,1.9000,696.3861,1.8000,0.1862,0.0197,0.1403,5329,3740,70.18
A2016341,2016-12-06,MCD15A3H,Lai_500m,0.1000,0.4000,39.7000,0.3000,0.1073,0.0012,0.0349,5329,370,6.94
A2016345,2016-12-10,MCD15A3H,Lai_500m,0.1000,0.2000,8.6000,0.1000,0.1075,0.0007,0.0263,5329,80,1.50
A2016349,2016-12-14,MCD15A3H,Lai_500m,0.1000,0.1000,0.1000,0.0000,0.1000,0.0000,0.0000,5329,1,0.02
A2016353,2016-12-18,MCD15A3H,Lai_500m,0.1000,0.4000,7.9000,0.3000,0.1097,0.0017,0.0414,5329,72,1.35
A2016357,2016-12-22,MCD15A3H,Lai_500m,0.1000,0.1000,0.7000,0.0000,0.1000,0.0000,0.0000,5329,7,0.13
A2016361,2016-12-26,MCD15A3H,Lai_500m,0.1000,0.2000,6.8000,0.1000,0.1062,0.0006,0.0242,5329,64,1.20
A2016365,2016-12-30,MCD15A3H,Lai_500m,0.1000,0.3000,9.4000,0.2000,0.1093,0.0011,0.0328,5329,86,1.61
A2017001,2017-01-01,MCD15A3H,Lai_500m,0.1000,0.2000,8.4000,0.1000,0.1063,0.0006,0.0243,5329,79,1.48
A2017005,2017-01-05,MCD15A3H,Lai_500m,0.1000,0.4000,9.9000,0.3000,0.1138,0.0023,0.0484,5329,87,1.63
A2017009,2017-01-09,MCD15A3H,Lai_500m,0.1000,0.1000,1.7000,0.0000,0.1000,0.0000,0.0000,5329,17,0.32
A2017013,2017-01-13,MCD15A3H,Lai_500m,0.1000,0.6000,12.4000,0.5000,0.1159,0.0034,0.0582,5329,107,2.01
A2017017,2017-01-17,MCD15A3H,Lai_500m,0.1000,0.3000,9.3000,0.2000,0.1148,0.0015,0.0388,5329,81,1.52
A2017021,2017-01-21,MCD15A3H,Lai_500m,0.1000,0.1000,0.2000,0.0000,0.1000,0.0000,0.0000,5329,2,0.04
A2017025,2017-01-25,MCD15A3H,Lai_500m,0.1000,0.2000,4.5000,0.1000,0.1023,0.0002,0.0149,5329,44,0.83
A2017029,2017-01-29,MCD15A3H,Lai_500m,0.1000,0.2000,5.0000,0.1000,0.1020,0.0002,0.0141,5329,49,0.92
A2017033,2017-02-02,MCD15A3H,Lai_500m,0.1000,0.1000,2.6000,0.0000,0.1000,0.0000,0.0000,5329,26,0.49
A2017037,2017-02-06,MCD15A3H,Lai_500m,,,,,,,,5329,0,0.00
A2017041,2017-02-10,MCD15A3H,Lai_500m,0.1000,0.3000,9.0000,0.2000,0.1047,0.0007,0.0260,5329,86,1.61
A2017045,2017-02-14,MCD15A3H,Lai_500m,0.1000,0.3000,8.4000,0.2000,0.1091,0.0013,0.0367,5329,77,1.44
